task_id,발주번호,project,산출물,산출물_옵션,고객주문수량,발주지시수량,대시보드,과업지시서,수주처,과업지시일자,입하예정일 (from movement_산출물),입하여부,지출결의,발주서 생성 요청 일시 _ test_수현,발주담당자,과업지시월,과업지시주
PNA52459_데일리 짐색_A1,PO074626,PNA52459-나이스홀딩스,데일리짐색,"데일리짐색, 케어라벨(전용), 패브릭디지털, 데일리짐색_바이어스/스트링",170,171,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=recxAQzdjTKyqRFGn&UvxrW=recMeGCrOxBbKenG0&Aq5EA=recjzhT9FSaUwUg3y,"""Order_PNA52459_DailyGymSack,.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1784520000000/aFQgwdDAkaY2l9OD5sLsqQ/rBuVwpL15gz42ZzabMCUbE6PNc3Ia8gwU4e7woCFK-bp2KKZOm-Vyvsv__i2QpxTZ87IdYnJg0oBq4AC7orZn68odrx7K_3LHQYtHp0J8RUEYKjSKso14zjL-J4JpGQfnJDTmQhley8aRJKlFkYcbCLLa50eUw_k_2V3O4NZw49suwhXsdxgPEKmi5OH8Phq/tsxeT6dTuwKUpEB3nAJtCmqZ5l2IlQaBvyv_hVHGOmg)""",(주)승화파트너스,2026.7.14,2026.7.24,,,,김민지,07월,
PNA52735_해피웨이 런치백_A2,PO074647,PNA52735-삼성전자,해피웨이런치백,"런치백, 부자재(손잡이/지퍼/바이어스), 케어라벨(전용), 승화전사",750,755,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=recxAQzdjTKyqRFGn&UvxrW=recXARnGjNgxoCzMM&Aq5EA=recBAXKpOZQFd23IT,"""Order_,PNA52735_HappyWay_LunchBag.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1784520000000/YHD802gCb-Uh0FM_DKcUmg/snhQt4gEeAM5bOdke3tMmEmympXnPhtwq9UH591t-YR-vhQ3YqqUEOoGzQdQSrv74YYb33X84ngW4QR6CkeGutrmUQ7Mpltfx3MvgRAljevLjebTsm16RmFHdM0kFAtN96XTqn5YIblW1NQT_EdpMD53IZKrOO2QDR43omxPf5z_-8gjuexSxqCbwonXYhdj/iAfTYrHNqfNKCxqxsGyytUNnudfI5BLTYth6eb1B0l8)""",(주)승화파트너스,2026.7.15,2026.8.7,,,,김민지,07월,
PNA52206_데일리 짐색[2]_A1,PO074661,PNA52206-유네스코한국위원회,데일리짐색,"케어라벨(전용), 샘플(본제작과동일옵션), 데일리짐색_바이어스/스트링, 패브릭디지털, 데일리짐색","600, 2",605,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=recxAQzdjTKyqRFGn&UvxrW=recQJHznUfytGmFap&Aq5EA=recqP0Qh3I3F6trcO,Order_PNA52206_PO074661.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1784520000000/tdq-DztM8PV4FRA4HkanLw/k9vbpjuoj5uWIXZB6NDVqn5fvEN9ctb_qYNyGEMUwVduHKyEPZN8wyacRuePC36mWu2ehd3SdHAWOIiVI_tRvKH08bJmYeW6wa72fivDfL4y1YzM6RB_wA6DhP-41Oy1cXTCChK9KeN9YtgUTK7TECPQivVnmbX5WAN8BpE2SY9htLdgpDNIj_tbgvxQEGUR/Ni1SvncBsLV8jiNdeu8BMzFYBsLHAhr3Tg-NrFMarOM),(주)승화파트너스,2026.7.15,"2026.7.20, 2026.8.7",,,2026.7.15 4:58오후,김민지,07월,
PNA52206_데일리 짐색_A1,PO074396,PNA52206-유네스코한국위원회,데일리짐색,"케어라벨(전용), 데일리짐색_바이어스/스트링, 샘플(본제작과동일옵션), 데일리짐색, 패브릭디지털","600, 3",609,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=recxAQzdjTKyqRFGn&UvxrW=recs8UZSrjwePOwJ2&Aq5EA=recqP0Qh3I3F6trcO,"Order_PNA52206_PO074396.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1784520000000/2Oz7j0AOz9DV87gdI3N41w/zYZc77x_7BZAsMWO7VTm9LNvAMnCAnVXVR6ox0G0Gk6rvN-j05fffS9TMQ9Lkq65f-Jum_lXW7Of4OVe0ZLZP1WsEHm7gFjNc8uT08s_yPIMt1ZfQcajOYWAgfc5iFfmz4VcLwp0bPrjpj2p4FqT8L3IZHjpocHd28zYHkqxQh2BtXlW7XWGFGNIKUjNbOUn/VgjEcWH96_IZze1uxNF3yfo8xPaCWOZNyUQ0BlRe3S8),Order_PNA52206_PO074396.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1784520000000/WwglQpEZjk37ftAxtRC1xg/_z9X1KIe3VZPsMUFrBeh1BZFw8UsnMIHcu2Am_rWDVcTqQW7asFF23VrHoQsIjPoW3wk6Y_Bzuy18qNaFS4OwKS2vMAFPEUezSStyXtl73Q1fvjLATIf-BHRVkTwcUCcMtUptIDPLNvhmZ0TWb7Hl29G0mavPL8qtkc0QRaBrQe0yyZR4GRi1rD-nSING4xX/EGHhlW6zcYWQ_1SaO1XWN1V43vocgPUhwO8ESR__uZs),Order_PNA52206_PO074396.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1784520000000/CHgB-186VpOgeW2rIbFrBg/A1zYtbFlU-WnVm88Sx1I1Ci4lfUILEk-keSqdv4YgRLIntxDB3mglFMwClvGOjM-Yizb07iB49-ljkmg0Cf5jxjnCHJw4btBuKx3kC1q9I8fwiwDKNwq_xZpSnv1vqspNRPqPbk-s_8gpRi-hru5ryYhEnb9YYvrDhLL13LuLRcOknGSyf3icBUrdG7k9LpR/0o5Lizx6WE8GJbAi3qKec0H0UITObgW37UdAfwjbE7U)",(주)승화파트너스,2026.7.15,"2026.7.8, 2026.8.7, 2026.7.13","입하완료,입하완료",26.7.13-7.17_(주)승화파트너스,2026.7.15 4:52오후,김민지,07월,
PNA52994_하이킹 폴딩방석_A1,PO074663,PNA52994-러쉬코리아,하이킹폴딩방석,"패브릭디지털, 하이킹폴딩방석_바이어스/고정밴드, 하이킹폴딩방석",340,342,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=recxAQzdjTKyqRFGn&UvxrW=recvnOdjrd6BX3DGi&Aq5EA=rec4NW4anilgiwcz8,"""Order_PNA52994_HikingFoldingSitMat,.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1784520000000/lWvdo7gR93TH7V9umAbmbw/S_ltMRRME2Mo9wEeRaKwcUPuDuktqAQM4SlP9fqqM884Ef-YZuQajulTusYkGhykSRxa_zH_aQHLWMhmhI5dREJlpE5dfFUFGlY5EXEzCRaoQpMt9uN324HBSH6FZQnHjv4-RFhDoU5ZPlzMQKQgTI9sK-LkDQqLYY3PhKVG4zpEibIEElYcucbGV7_lf7c3/I7OFe-FktYCyH11k0eySJXtWXJz0ZAlmLtyS1fteoR0)""",(주)승화파트너스,2026.7.16,2026.7.24,,,,김민지,07월,
PNA52442_임팩트 슬로건타월 [1]_A1,PO074679,PNA52442-안산문화재단,임팩트슬로건타월,"승화전사, 임팩트슬로건타월",150,152,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=recxAQzdjTKyqRFGn&UvxrW=reck3SbLtPxDVQU0e&Aq5EA=rec7mgVCe60rMOf6K,"""Order_PNA52442_ImpactSloganTowel,.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1784520000000/yaLO_VYzKc9qSuqrRL10FA/teQVLlFsOtq8EyIeLfJDBMBOEa3pua43x94llkuXj8M4bPvXRhY1axlINXtCjKmLbCdauSXsg2yk9lHutpWKvj0TgCKBNfXsRCrI3L0q-4aFCVppq1DSHnAWB2FX9T7-Vn14coG4G0UtK5MjiF9-SsGggxN4rGhsdwzfU8sAQFoh9pz59dgFhfsJTaK7JDnV/W7-tYPcVIcOS8wf_b5rKdVJpQ3Xr018YMxqIhXndSlk)""",(주)승화파트너스,2026.7.16,2026.7.27,,,,김민지,07월,
PNA51136_하이킹 폴딩방석_재제작_A1,PO074662,PNA51136-해군본부,하이킹폴딩방석,"하이킹폴딩방석_바이어스/고정밴드, 패브릭디지털, 하이킹폴딩방석",,301,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=recxAQzdjTKyqRFGn&UvxrW=recjMW69mAB0CjaYC&Aq5EA=recvzQTfYo2O4L151,"""Order_,PNA51136_HikingFoldingSitMat.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1784520000000/ShXaPO5Z_BE6fV41xMJqvA/NEiKYUBHRI6cXQW4vvCPAAdc9DpkkNSAQNphBUGCPiEEgIrEwrpmQG6cLe_vg5MQw8V9PvJRlHNkZaUsKJ-RqBT1XieJpjHlsbqhBk_JckeoOtNtRkKy80UmMt1a4IfRmngEBh-O8ERGTygbzUV8aDBFaoooV58RiFNCLKG2Uq6KxS84XRPrHSWGkVapVnVk/-p7VmMTOX8ssXvb5IXQw8FLcuNuvdHT6bTtHARb6OI4)""",(주)승화파트너스,2026.7.16,2026.7.22,,,,김민지,07월,
PNA52758_인마이백 피크닉매트_A2,PO074507,PNA52758-오름웍스,인마이백피크닉매트,"인마이백피크닉매트(2인용), OPP(2인용), 케어라벨, 주의사항표기서, 전사",110,111,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=recxAQzdjTKyqRFGn&UvxrW=recEkYel0lanKjRfx&Aq5EA=rec7DN5eSZzqLkETF,"""Order_,PNA52758_InMyBag_PicnicMat_2p.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1784520000000/kyT8zyBlv2U4e3wCo5N2Uw/SyCi_MSe27VIE_OtyBXTEY2483vqQYHUMVD50bHwnbUQGNrfSWNiwjrvDhBvqJeTqCjIMwEbsWDhJKbW-50woiqeAAI2SMxSOltaMDMhruIRQTwUXcJEO86ovdcy8pLNECDunk-p-f4TxbN2x7iRw_vXiSMBOipaMsTH4LUgjP0HmrtDFhPu9IOBJJ00eHgtnhbuWhW-WDvh7r0ZnI8LdQ/ai37n3abn8UeEQ-ErvxDBQTQbXRHulwui1qMCRLBETo)""",(주)아이아트텍스,2026.7.8,2026.7.23,,,,김민지,07월,
PNA52735_인마이백 피크닉매트_A2,PO074649,PNA52735-삼성전자,인마이백피크닉매트,"주의사항표기서, 케어라벨, 전사, OPP(2인용), 인마이백피크닉매트(2인용), 샘플(전사)","750, 1",757,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=recxAQzdjTKyqRFGn&UvxrW=recpHr9tYZNk1zyda&Aq5EA=recBAXKpOZQFd23IT,"""Order_,PNA52735_InMyBag_PicnicMat_2p.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1784520000000/FYqXvp8WSat4g53nhg50hg/b7jrwPmR9M_RGPBzF0VF7zZC-fxTdXODyiyg7O1YpWFYttVf__KfrU2MltasoYCmOuRdX_Q220eb1BWGAC2738wlaApfUwwMhHTqFNIdfwlVzt7HxT-0G23Wfhp2XfHGfXRxEsfpknJxrLUGEySj4vYuyNj-cXlBam78DSjvW3g00AhcOFeDkzyRytZ-WuPJWaTuJg7rslB4MoeNyUKYYw/tLNTQZfXLwnElJ3Aszt3i5bxWD3IV_JgvpUXraSoZ1g)""",(주)아이아트텍스,2026.7.15,"2026.7.23, 2026.8.10, 2026.8.10",,,,김민지,07월,
PNA53035_모먼트 일회용 카메라_A1,PO074728,PNA53035-헤이웨이,모먼트 일회용 카메라,"모먼트일회용카메라_커버, PVC열수축필름, 모먼트일회용카메라_본품",100,101,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=recxAQzdjTKyqRFGn&UvxrW=recwcgm7VFexdkcHN&Aq5EA=recnjynnJU9JIz3zv,"""Order_PNA53035_MomentsCamera,.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1784520000000/U1rkAu1lpiieJ5s-AaG-dw/5dDZuXaTAyzDhDFQOjGEsz_58sXmVijfa405TjB3w-dUAdAxLd3IOUVmLUsNjKHgHS4Qs3q7W6EwdL_UT93dA-FhZzBfwG6etoxK5XI4-1mZd-SGLs7jyBI0f5BnOHOjIhrxWXtv2_Exge56at9tWHOl4EGX1JndiLWVFiC6fRcMGFic0_H_Pfrnl-l6a7ZH/a9GOgX8ps_-KtoLpK9tQoCDyR7GhlIvMwU-3yWl6z5w)""",(주)우와,2026.7.16,2026.7.29,,,,김민지,07월,
