task_id,발주번호,project,산출물,산출물_옵션,고객주문수량,발주지시수량,대시보드,과업지시서,수주처,과업지시일자,입하예정일 (from movement_산출물),입하여부,지출결의,발주서 생성 요청 일시 _ test_수현,발주담당자,과업지시월,과업지시주
PNA52766_풀커버 스프링노트_A1,PO074585,PNA52766-메디테라피,풀컬러스프링노트,"풀컬러스프링노트_커버, 풀컬러스프링노트_내지(무지), 풀커버스프링노트_스프링, OPP",100,110,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=recrzBCkLRHhKYmYc&UvxrW=recxcUudU9ZZH9Rcw&Aq5EA=rec0n8QpVvUShScDX,"""Order_,PNA52766_FullcoverSpringnote_Cover_Colorprinting.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1784016000000/Myb61nbdnz_4ALtb0eZBjA/MGfQRFUBqS0yY0rL8ivdPkXrCYxnTDsfnL-kM83xpSOVYUmztOZm6oiR_292--YrG9Hk5jXjCJaESvh_2H6rzFqAxAg8YiqEb7W1TwMKGaKu2WxzhRYPj6pyiiO4080yLFPFsiWnCQVXspGG1vA-Y8O5-SkmFTS-FYPKYKOP3d7BKhVc7477xHd1sQr67pZnGQIH2wH0EfIeRqBjgg-nM3Rk_hC4f3yoQFOFF57wuDA/MNxrp6fPt9QDn0ogLEGsJM7fo-qEyE_QV5cGx7MPduk)""",(주)청산인쇄,2026.7.10,2026.7.23,,,2026.7.10 4:41오후,이난영,07월,
PNA52955_디자이너 노트_A1,PO074609,PNA52955-네이버지회노동조합,디자이너노트+인쇄,"디자이너노트_내지(커스텀인쇄1p), 공박(양각), 디자이너노트_커버(그문드비)",300,300,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=recrzBCkLRHhKYmYc&UvxrW=recUEwNAGICQzOyY4&Aq5EA=recd1ApDGps7jJ1b0,Order_PNA52955_PO074609.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1784016000000/ZO7dei5ChTZByOq-K71_HQ/etNUmHGA1UMOgBysi9PYZZpDCCJeN0O0WgKyGH2_5CtDksSsX0cfJw1n1Vat8Xv1ovIbh7zYMTm_379y3ulI7xLrorEstRDero9ijhaYenWTO6geE9qJuPjCjITyWgyeGIO6Zrep5QVepZI7WL5DpBgZg21bopmmiSpJYr2Tda0FBOXtgXZnDAW7tP_PTU74/2C-f0fkcBa4dumsN7oloeUd1lZfZxWznavOxgUOpnrA),(주)청산인쇄,2026.7.13,2026.7.28,,,2026.7.13 3:58오후,이난영,07월,
PNA52896_미스트 워터보틀_A1,PO074576,PNA52896-MAL,미스트워터보틀,"실크, 미스트 워터보틀, 원형스티커",50,55,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=recrzBCkLRHhKYmYc&UvxrW=recmXerYSxN1qMYDH&Aq5EA=recS8CYx5gPs0zcJ9,"""Order_,PNA52896_MistWaterBottle.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1784016000000/-a02sWmCkW2tzjgrKIuWVQ/IivPcENYo6VPjWttx72ruyc1QR39921uL5wRBo5QK-WjNTO2M50OG0FCNS6GHWVD_STh4MWpaAChrRS90kxYlEp4s1qzEGnKNnuWDOqBLxSxTgqO3Kn7KmFcDn5lsBghZadAKmJist8NUf2gIF9R3J-tKSAtLMKkPKnBRAh00Vj9kJA2SguzuCNum253R5tz/7aI8Byo_X_9nGTLqCBi6w4oTXe7EJiI_JTFgPylpQQs)""",강천FNT,2026.7.10,2026.7.22,,,2026.7.10 4:37오후,이난영,07월,
PNA52827_밀크 에코컵_A1,PO074512,PNA52827-신영균예술문화재단,밀크에코컵,"밀크에코컵(레귤러), 골지단품박스, 승화전사",50,51,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=recrzBCkLRHhKYmYc&UvxrW=recWgcfzJTllYccHn&Aq5EA=recNl0kMeeK88BLpZ,"""Order_,PNA52827_Milk_EcoCup.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1784016000000/wWZ_sQX8G3LnrmOyAKDwlA/uobx4mXoKugcp5x28jbqr63N0METZSsuwp-EgXIm_I5YfWdtGox4GIFztYFW8yQzKrT1YnaVP2B94KOha4d4QIG_HQZzD5MkfY7aR16XAGa3xQqpcuDbdFTXVNINVFByUlRtjtQOUKi87sZkyZYszg7blby5d0KEt8xaGNxdmJGYhO_2XrhY9QZdFrTLRVak/0GSFONiMPPwtMVxROYVVZi1dYKzMCLviPaWBTg4l5pk)""",아인 디스트리뷰션,2026.7.8,2026.7.20,,26.7.20-7.24_아인 디스트리뷰션,2026.7.8 3:11오후,이난영,07월,
PNA52646_미니멀 스텐머그 [1]_A1,PO074379,PNA52646-플라잉베어(메리츠증권),미니멀 스텐머그 +인쇄,"미니멀스텐머그, 실크",500,500,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=recrzBCkLRHhKYmYc&UvxrW=reclYatAjSVEM7Jrj&Aq5EA=reccAQSDQgc4RR7I3,"""Order_,PNA52646_MinimalStainlessMug.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1784016000000/nfcXcy8bba7C3uLgT2PmUQ/p9dvSSPbX7aZk8OjZDXtf9WY6W3hQDTRdiZ5OK8OlvC1tstXSAKZwt60a1F30AfPOSeuk3Zypa9veXd5MCg2Uwk01aVo3kFGqYinnOG81rZf5jBi5L3b_HnwocSyupkESekbqLjGIj0XdtKKIW66ZZM67I7UgkrAsD4u3qU7O-14MzOzON1x3WEhLkXTR7X_/hDeG8pRRqZKGKnzOnKZpBgbKdFgXDe2JLexvsXD9xbU)""",주식회사 꾸띠잔홀딩스,2026.7.2,2026.7.15,,,2026.7.2 2:08오후,이난영,07월,
PNA52919_매트블랙 텀블러_A1,PO074593,PNA52919-성공홀딩스,"인쇄(매트블랙 텀블러_레이저,실크)","매트블랙텀블러, 실크",100,101,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=recrzBCkLRHhKYmYc&UvxrW=recflQMl92F210br8&Aq5EA=reclTQjLGlJxJj7nU,"""Order_,PNA52919_Matt_Tumbler.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1784016000000/B_3j1I0oRetULD3rfw4nBg/MLB0AFMHll4LeOItpUCOlT2JFLD5-5jsIdMvkB2IqhvnWXRUJOa-CdoKvPetAy_jZL5ZeOAbz9udKosWklfiAFVep-hkrp4eyox33P53ss8W21leo5E9kMjjyc_OxEoSlvwR_sJb-z4Dxgt9-N9-kxyp2pMxQDEwmO-fPHgW8_fu8UGCJao2e_vrc97-aKNW/4CE_DsmxjqULPweaAt3gxvBrqlaaDtAgh04miemBOqk)""",주식회사 꾸띠잔홀딩스,2026.7.10,2026.7.16,,,2026.7.10 4:46오후,이난영,07월,
PNA52365_매트블랙 텀블러_A1,PO074604,PNA52365-FIG(피이그)_샘플,"인쇄(매트블랙 텀블러_레이저,실크)","매트블랙텀블러, 실크, 샘플(본제작과동일옵션)",1,2,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=recrzBCkLRHhKYmYc&UvxrW=recPLhIS5pvQCZ1R4&Aq5EA=recgh6uCZuMWqttaS,"""Order_PNA52365_Matt_Tumbler,.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1784016000000/eYGtVU3FbHmed5NMKwONYg/y2g11yPR0pAMWvlnroipgjiivmRtXbAFHJsoRB87wI0W53SC40WxXgQcS8uCnAFMDqdkQ5t9LshZWgzDmntKmhahu68PjwqHUKSDi8nHwN6wo_GK6KLhze8Thk1_EcXH39dmeFhf5RgsDYyKbxVQC8NVWyXvcvrd-yW_vD4Kn47lQL4vd9dAhO5FKkjhrvYa/zure6XxNbV5QC8UBV4z5ZXDKCRM0K7crbzjpPOsm5h0)""",주식회사 꾸띠잔홀딩스,2026.7.13,2026.7.16,,,2026.7.13 2:20오후,이난영,07월,
PNA52709_비스포크 밥용기박스_D1,PO074351,PNA52709-한국무역협회,,,300,300,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=recrzBCkLRHhKYmYc&UvxrW=recAFGMDWqmtuoc3P&Aq5EA=recmVcDH5dlNKycSK,Order_PNA52709_PO074351.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1784016000000/T6Os5MWl5bZbsnqi6CjrWA/rH8-5IkkcrbwrCbgZarXSOFf1vYPLkdfR15Aty8NovMDwTgin1utcIANOQefBwQ_EoERP1h9s3k_Nf_tRm7cbJXVPRNd3s7BeT70fUkM3_vfwhA-QYEuWV2THmeWsL4EvvkpTTUBKIpeNTO9YtG2fXBdB7mUdJfrzv6vsaRUoEVSckTzO9FHKTamXB01Xuxz/4s903j2HdLLX95u5AxOuupg11P_o0Qxx_Xqkx82nUQ8),주식회사 모아패키지,2026.7.1,2026.7.17,,,2026.7.1 2:37오후,이난영,07월,
PNA52709_매트블랙 텀블러 [1]_P1,PO074347,PNA52709-한국무역협회,,,300,300,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=recrzBCkLRHhKYmYc&UvxrW=reczX43WiFobo4IIq&Aq5EA=recmVcDH5dlNKycSK,Order_PNA52709_PO074347.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1784016000000/dmMRq4R5JcSwJhXz77GETg/CBQXAge0yHq-tXN-1gAq888nTTkBnmlN5R6kz9zuHn63bBFT8DGJjKlHIR57GAT8fCUyuMz-TdxNcJy89iMym7lw2tFjMEF3fBF9RPrLVZXgaB8i--ZNk66G9EriwQ9Ys5fGWDYDVjJcqiVwP7haDcp5OUJuL8QCKLk2kjLxhOJhLrfIJO0y4k5K7H7gpgDo/cJHO5Ud9FvUi3xHyYVnzM-T2x1OWIIyYE-1ljDjcdkw),주식회사 모아패키지,2026.7.1,2026.7.17,,,2026.7.1 2:27오후,이난영,07월,
PNA52709_비스포크 자동우산박스_C1,PO074350,PNA52709-한국무역협회,,,300,300,https://airtable.com/appkRWtF2j99XgBTq/pag4McZ2Tc7xALrrs?5hZOH=recrzBCkLRHhKYmYc&UvxrW=recXV6JfngCyIU75l&Aq5EA=recmVcDH5dlNKycSK,Order_PNA52709_PO074350.pdf (https://v5.airtableusercontent.com/v3/u/55/55/1784016000000/OxwjJIRfIjGXRLW3V4zivg/6or76Gz5A26IfppuPmtFrJtOV2hwO2S1b3coPFiEoABONmOmhIAaOwdDPniOycAe8njQaAl2nw6R2G_k9KdeU8vawUO6l5M0f4UVe5ep_n7w8nYS9ZxyvCRtXxl2KBMYzeIVHB8_Rr5hNg-LaED31UKQBu52vmdQ7-b3RX87e4NEFDXlTEWDcKrPooXl7PTN/Gr6iattGVKnTLWjxAb6qYnQvPxhtoEoyy5Onnk2jFek),주식회사 모아패키지,2026.7.1,2026.7.17,,,2026.7.1 2:34오후,이난영,07월,
