task_id,과업지시일자,과업담당자_이름,수주처,project,발주번호,movement_산출이동,sync_itemdb,산출물,비스포크여부,긴급여부,미입하 발생이력_movement,재제작/추가제작,발주지시수량,고객주문수량,이슈체크(Order 이슈 관리용) (from order),공급가액,배송비,취득원가,파츠유형,협력사 결제조건 (from 수주처),R) 판매가(최종),세금계산서작성월 (from 지출결의),입하예정일 (from movement_산출물),입하확정일 (from movement_산출물),실제입하일 (from movement),지출결의,결제일(from 지출결의),분할지출여부,합계_분할,발주수량_분할,지출결의_분할갯수,지출결의 금액 합계 (from 지출결의),지출현황,총 지출 단가 (VAT 포함),총 지출액 (VAT 제외),조정금액(부가세포함),입하여부
PNA51748_심볼 아크릴 트로피_B1,2026.5.11,육승미,서울디지털인쇄협동조합,PNA51748-한화투자증권,PO072746,MM00210696,ACTP_PT4911-배경지(커스텀인쇄)_화이트+디지털풀컬러,배경지(심볼 아크릴 트로피),,-,0 checked out of 1,,60,50,0 checked out of 1,24000,0,24000,Package Parts,정기(월),\35000,26년 5월,2026.5.18,,2026.5.13,26.6.8-6.12_서울디지털인쇄협동조합,2026.6.11,,₩0,,1,₩20710151,지출완료,440,24000,,입하완료
PNA51636_모바일오피스파우치2.0_A2,2026.5.11,김민지,개미기획,PNA51636-NHN,PO072712,MM00210547,"MOSL_PT5304-모바일오피스파우치2.0_추상적산출물,MOSL_PT5288-실크_실버1색[모바일오피스파우치2.0]",모바일오피스파우치2.0,,긴급,0 checked out of 1,,223,220,0 checked out of 2,431400,0,431400,"Phantom Parts, Product Parts",정기(격주),\580800,26년 5월,2026.5.19,,2026.5.19,26.6.1-6.5_개미기획,2026.6.4,,₩0,,1,₩6628600,지출완료,2128,431400,,입하완료
PNA51885_Solid 스탠다드 G형박스_D1,2026.5.11,육승미,서울디지털인쇄협동조합,PNA51885-우리카드,PO072735,MM00210639,DRCG_PT0611-띠지(커스텀인쇄)(L)_화이트+디지털풀컬러_000-2,띠지(Solid 커스텀 G형 박스_L),,-,0 checked out of 1,,60,50,0 checked out of 1,74040,0,74040,Package Parts,정기(월),\90000,26년 5월,2026.5.18,,2026.5.15,26.6.8-6.12_서울디지털인쇄협동조합,2026.6.11,,₩0,,1,₩20710151,지출완료,1357,74040,,입하완료
PNA51737_아트워크 타월_A1,2026.5.11,김민지,유노타월 유노디자인,PNA51737-전북특별자치도교육청,PO072728,MM00210610,"AWTW_PT4819-아트워크타월_화이트,AWTW_PT5285-아트워크타월_추상적산출물,AWTW_PT5284-컬러전사_하단_380x80_개별시안_유노타월유노디자인",아트워크타월,,-,0 checked out of 1,,205,200,0 checked out of 3,71750,20000,91750,"Product Parts, Phantom Parts, Printing Parts",정기(월),\1020000,26년 5월,2026.5.27,,2026.5.19,26.6.1-6.5_유노타월 유노디자인,2026.6.4,,₩0,,1,₩4266185,지출완료,492,91750,,입하완료
PNA51885_Solid 스탠다드 G형박스_C1,2026.5.11,육승미,서울디지털인쇄협동조합,PNA51885-우리카드,PO072734,MM00210630,DRCG_PT0600-웰컴페이퍼(커스텀인쇄)(L)_반투명+블랙인쇄_200-1,웰컴페이퍼(Solid 커스텀 G형 박스_반투명L),,-,0 checked out of 1,,60,50,0 checked out of 1,27000,0,27000,Package Parts,정기(월),\65000,26년 5월,2026.5.18,,2026.5.13,26.6.8-6.12_서울디지털인쇄협동조합,2026.6.11,,₩0,,1,₩20710151,지출완료,495,27000,,입하완료
PNA51885_스탠리 데일리 텀블러_A1,2026.5.11,김민정,주식회사 에벤에셀기업,PNA51885-우리카드,PO072736,MM00210637,"STLD_PT3400-스탠리데일리텀블러_폴라화이트,STLD_PT4392-주의사항표기서(전용),STLD_PT4416-스탠리데일리텀블러_추상적산출물,STLD_PT4417-레이저각인_20x60_주식회사에벤에셀기업",스탠리데일리텀블러,,-,0 checked out of 1,,53,50,0 checked out of 4,64300,0,64300,"Product Parts, Package Parts, Phantom Parts, Printing Parts",정기(월),\1910000,26년 5월,2026.5.18,,2026.5.18,26.6.15-6.19_주식회사 에벤에셀기업,2026.6.18,,₩0,,1,₩25480070,지출완료,1335,64300,,입하완료
PNA51930_커넥트 6in1 케이블키트_A1,2026.5.11,남인호,신시어리웨일즈 주식회사,PNA51930-필더필,PO072721,MM00210563,"CCKT_PT4729-커넥트6in1케이블키트_본품,CCKT_PT5134-UV_단면_95x15_신시어리웨일즈주식회사,CCKT_PT5138-커넥트6in1케이블키트_추상적산출물",커넥트6in1케이블키트,,-,0 checked out of 1,,533,530,0 checked out of 3,0,0,0,"Product Parts, Printing Parts, Phantom Parts",정기(월),\2332000,,2026.5.22,,2026.5.13,,,,,,0,₩0,,0,0,,입하완료
PNA51636_라이트샤오미펜_A1,2026.5.11,남인호,신시어리웨일즈 주식회사,PNA51636-NHN,PO072715,MM00210552,"LXMP_PT4400-라이트샤오미펜_화이트,LXMP_PT4612-라이트샤오미펜_추상적산출물,LXMP_PT4590-UV_신시어리웨일즈[라이트샤오미펜]",라이트샤오미펜,,긴급,0 checked out of 1,,224,220,0 checked out of 3,0,0,0,"Product Parts, Phantom Parts, Printing Parts",정기(월),\378400,,2026.5.19,,2026.5.12,,,,,,0,₩0,,0,0,,입하완료
PNA51636_모바일오피스파우치2.0_A1,2026.5.11,김민정,키멤버스,PNA51636-NHN,PO072711,MM00210548,MOSL_PT5286-모바일오피스파우치2.0_블랙,모바일오피스파우치2.0(블랙),,긴급,0 checked out of 1,,223,220,0 checked out of 1,3953182,0,3953182,Product Parts,건별,\6358000,26년 5월,2026.5.13,,2026.5.13,26.5.18-5.22_키멤버스,2026.5.21,,₩0,,1,₩5362500,지출완료,19500,3953182,,입하완료
PNA38459_0511_5331,2026.5.11,김민정,주식회사 에벤에셀기업,PNA38459-26년5월_재고생산,PO072723,MM00210562,STCK_PT4391-스탠리데일리텀블러_매트블랙,스탠리데일리텀블러(매트블랙),,,0 checked out of 1,,303,,0 checked out of 1,7756800,0,7756800,Product Parts,정기(월),\0,26년 5월,2026.5.19,2026.5.19,2026.5.19,26.6.15-6.19_주식회사 에벤에셀기업,2026.6.18,,₩0,,1,₩25480070,지출완료,28160,7756800,,입하완료
