task_id,과업지시일자,과업담당자_이름,수주처,project,발주번호,movement_산출이동,sync_itemdb,산출물,비스포크여부,긴급여부,미입하 발생이력_movement,재제작/추가제작,발주지시수량,고객주문수량,이슈체크(Order 이슈 관리용) (from order),공급가액,배송비,취득원가,파츠유형,협력사 결제조건 (from 수주처),R) 판매가(최종),세금계산서작성월 (from 지출결의),입하예정일 (from movement_산출물),입하확정일 (from movement_산출물),실제입하일 (from movement),지출결의,결제일(from 지출결의),분할지출여부,합계_분할,발주수량_분할,지출결의_분할갯수,지출결의 금액 합계 (from 지출결의),지출현황,총 지출 단가 (VAT 포함),총 지출액 (VAT 제외),조정금액(부가세포함),입하여부
PNA52321_퀵차지 도킹형 보조배터리_A2,2026.7.16,남인호,신시어리웨일즈 주식회사,PNA52321-소만사,PO074711,MM00220275,"QUIC_PT4289-퀵차지도킹형보조배터리(UV)_추상적산출물,QUIC_PT4285-UV_풀컬러_전면_와이이케이글래스주식회사[퀵차지도킹형보조배터리]",UV(퀵차지보조배터리),,-,0 checked out of 1,,101,100,0 checked out of 2,0,0,0,"Phantom Parts, Printing Parts",정기(월),\100000,,2026.7.31,,,,,,,,0,₩0,,0,0,,
PNA52321_라이트 샤오미펜_A1,2026.7.16,남인호,신시어리웨일즈 주식회사,PNA52321-소만사,PO074715,MM00220273,"LXMP_PT4400-라이트샤오미펜_화이트,LXMP_PT4590-UV_신시어리웨일즈[라이트샤오미펜],LXMP_PT4612-라이트샤오미펜_추상적산출물",라이트샤오미펜,,-,0 checked out of 1,,101,100,0 checked out of 3,0,0,0,"Product Parts, Printing Parts, Phantom Parts",정기(월),\180000,,2026.7.31,,,,,,,,0,₩0,,0,0,,
PNA52872_비주얼핏 키캡키링_추가제작_B1,2026.7.16,육승미,서울디지털인쇄협동조합,PNA52872-생각하는늑대,PO074721,MM00220287,KYCP_PT5447-배경지(커스텀인쇄)_화이트+디지털풀컬러,배경지,,-,0 checked out of 1,,100,100,0 checked out of 1,0,0,0,Package Parts,정기(월),\70000,,2026.7.22,,,,,,,,0,₩0,,0,0,,
PNA52872_비주얼핏 키캡키링_추가제작_A1,2026.7.16,이난영,주식회사 위즈프로(구.호언),PNA52872-생각하는늑대,PO074720,MM00220288,"KYCP_PT5441-키캡키링(3구LED)_투명,KYCP_PT5449-키캡키링_추상적산출물",키캡키링,,-,0 checked out of 1,,100,100,0 checked out of 2,0,0,0,"Product Parts, Phantom Parts",정기(월),\870000,,2026.7.24,2026.7.24,,,,,,,0,₩0,,0,0,,
PNA52321_Quality 슬리브박스_A1,2026.7.16,이난영,(주)청산인쇄,PNA52321-소만사,PO074716,MM00220272,"SLVB_PT2547-슬리브_추상적산출물,SLVB_PT2352-슬리브(커스텀인쇄)(지네발)_화이트+옵셋풀컬러",슬리브(Quality 슬리브 박스),,-,0 checked out of 1,,110,100,0 checked out of 2,0,0,0,"Phantom Parts, Package Parts",정기(월),\600000,,2026.7.30,,,,,,,,0,₩0,,0,0,,
PNA52321_브랜드-잇_A1,2026.7.16,이난영,(주)청산인쇄,PNA52321-소만사,PO074708,MM00220267,"BRDT_PT2527-브랜드잇_커버_추상적산출물,BRDT_PT1860-공박(양각)_50x50_청산인쇄[브랜드잇_커버],BRDT_PT1029-브랜드잇_커버(그문드비)_컬러",커버(브랜드-잇_인쇄포함),,-,0 checked out of 1,,100,100,0 checked out of 3,0,0,0,"Phantom Parts, Printing Parts, Product Parts",정기(월),\470000,,2026.7.30,,,,,,,,0,₩0,,0,0,,
PNA52927_브릭스탠드 멀티충전기_A1,2026.7.16,남인호,신시어리웨일즈 주식회사,PNA52927-한국수력원자력새울원자력본부,PO074686,MM00220193,"BSMC_PT4953-브릭스탠드멀티충전스테이션_추상적산출물,BSMC_PT4950-UV_신시어리웨일즈,BSMC_PT4711-브릭스탠드멀티충전스테이션(인쇄패드)_화이트",브릭스탠드멀티충전스테이션,,-,0 checked out of 1,,101,100,0 checked out of 3,0,0,0,"Phantom Parts, Printing Parts, Product Parts",정기(월),\100000,,2026.7.31,,,,,,,,0,₩0,,0,0,,
PNA52706_퀵차지 도킹형 보조배터리_A2,2026.7.16,남인호,신시어리웨일즈 주식회사,PNA52706-드림센터경주,PO074699,MM00220199,"QUIC_PT4289-퀵차지도킹형보조배터리(UV)_추상적산출물,QUIC_PT4287-UV_풀컬러_전후면_와이이케이글래스주식회사[퀵차지도킹형보조배터리]",UV(퀵차지보조배터리),,-,0 checked out of 1,,101,100,0 checked out of 2,0,0,0,"Phantom Parts, Printing Parts",정기(월),\150000,,2026.7.23,,,,,,,,0,₩0,,0,0,,
PNA52321_브랜디드 피규어 키링_A2,2026.7.16,육승미,엠알오즈(MROZ),PNA52321-소만사,PO074714,MM00220274,"BRPK_PT4431-본드접착(키링)[브랜디드피규어(키링)],BRPK_PT5052-피규어부품(헤어/모자)_컬러,BRPK_PT4728-브랜디드피규어키링_추상적산출물,BRPK_PT1318-실버팩_100-1,BRPK_PT4424-UV_피규어상체전면_엠알오즈(MROZ)[브랜디드피규어(기본피규어)],BRPK_PT4471-핸드블록(A),BRPK_PT5055-피규어부품(손)_컬러,BRPK_PT4421-브랜디드피규어(기본피규어)_컬러",브랜디드피규어키링,,-,0 checked out of 1,,101,100,0 checked out of 8,0,0,0,"Product Parts, Phantom Parts, Package Parts, Printing Parts",정기(월),\890000,,2026.8.3,,,,,,,,0,₩0,,0,0,,
PNA52321_Quality 슬리브박스_C1,2026.7.16,육승미,서울디지털인쇄협동조합,PNA52321-소만사,PO074703,MM00220247,SLVB_PT0547-웰컴페이퍼(커스텀인쇄)_반투명+블랙인쇄_200-2,웰컴페이퍼(Quality 슬리브 박스_반투명),,-,0 checked out of 1,,110,100,0 checked out of 1,0,0,0,Package Parts,정기(월),\90000,,2026.7.29,,,,,,,,0,₩0,,0,0,,
PNA52321_올웨이즈 양우산_B1,2026.7.16,육승미,서울디지털인쇄협동조합,PNA52321-소만사,PO074707,MM00220265,ALUM_PT3296-사각스티커(커스텀인쇄)_화이트+디지털풀컬러,사각스티커(올웨이즈 양우산),,-,0 checked out of 1,,110,100,0 checked out of 1,0,0,0,Package Parts,정기(월),\50000,,2026.7.29,,,,,,,,0,₩0,,0,0,,
PNA52321_퀵차지 도킹형 보조배터리_B1,2026.7.16,육승미,서울디지털인쇄협동조합,PNA52321-소만사,PO074719,MM00220276,QUIC_PT4290-사각스티커(커스텀인쇄)_화이트+디지털풀컬러,사각스티커(퀵차지보조배터리),,-,0 checked out of 1,,110,100,0 checked out of 1,0,0,0,Package Parts,정기(월),\40000,,2026.7.29,,,,,,,,0,₩0,,0,0,,
PNA52321_브랜디드 피규어 키링_A1,2026.7.16,육승미,서울디지털인쇄협동조합,PNA52321-소만사,PO074709,MM00220268,BRPK_PT4435-배경지(커스텀인쇄)(키링)_화이트+디지털풀컬러[실버팩],배경지(키링),,-,0 checked out of 1,,110,100,0 checked out of 1,0,0,0,Package Parts,정기(월),\70000,,2026.7.22,,,,,,,,0,₩0,,0,0,,
PNA52321_아이덴티티 스티커팩_A1,2026.7.16,육승미,서울디지털인쇄협동조합,PNA52321-소만사,PO074705,MM00220264,"IDTT_PT5220-아이덴티티스티커팩(리무버블유포지6개입)_화이트+디지털풀컬러,IDTT_PT5227-아이덴티티스티커팩_추상적산출물,IDTT_PT5223-OPP(기성),IDTT_PT5222-배경지(커스텀인쇄)_화이트+디지털풀컬러",아이덴티티스티커팩,,-,0 checked out of 1,,105,100,0 checked out of 4,0,0,0,"Product Parts, Phantom Parts, Package Parts",정기(월),\520000,,2026.7.29,,,,,,,,0,₩0,,0,0,,
PNA52321_라이트 샤오미펜_B1,2026.7.16,육승미,서울디지털인쇄협동조합,PNA52321-소만사,PO074717,MM00220271,LXMP_PT4592-배경지(커스텀인쇄)_화이트+디지털풀컬러[OPP],배경지(라이트 샤오미펜),,-,0 checked out of 1,,110,100,0 checked out of 1,0,0,0,Package Parts,정기(월),\40000,,2026.7.29,,,,,,,,0,₩0,,0,0,,
PNA52927_브랜디드 피규어 [1]_A2,2026.7.16,육승미,엠알오즈(MROZ),PNA52927-한국수력원자력새울원자력본부,PO074691,MM00220190,"BRPR_PT4424-UV_피규어상체전면_엠알오즈(MROZ)[브랜디드피규어(기본피규어)],BRPR_PT4422-브랜디드피규어_추상적산출물,BRPR_PT4432-지퍼백(기성)_투명[브랜디드피규어(기본피규어)],BRPR_PT4421-브랜디드피규어(기본피규어)_컬러",브랜디드피규어,,-,0 checked out of 1,,101,100,0 checked out of 4,0,0,0,"Printing Parts, Phantom Parts, Package Parts, Product Parts",정기(월),\540000,,2026.8.3,,,,,,,,0,₩0,,0,0,,
PNA52927_브랜디드 피규어 [2]_A2,2026.7.16,육승미,엠알오즈(MROZ),PNA52927-한국수력원자력새울원자력본부,PO074688,MM00220192,"BRPR_PT4421-브랜디드피규어(기본피규어)_컬러,BRPR_PT4422-브랜디드피규어_추상적산출물,BRPR_PT4424-UV_피규어상체전면_엠알오즈(MROZ)[브랜디드피규어(기본피규어)],BRPR_PT4432-지퍼백(기성)_투명[브랜디드피규어(기본피규어)]",브랜디드피규어,,-,0 checked out of 1,,101,100,0 checked out of 4,0,0,0,"Product Parts, Phantom Parts, Printing Parts, Package Parts",정기(월),\540000,,2026.8.3,,,,,,,,0,₩0,,0,0,,
PNA52927_펜홀더 피규어 세트_A2,2026.7.16,육승미,엠알오즈(MROZ),PNA52927-한국수력원자력새울원자력본부,PO074693,MM00220202,"BRPH_PT5458-펜홀더피규어세트_추상적산출물,BRPH_PT5464-UV_1곳_엠알오즈(MROZ),BRPH_PT5455-펜홀더피규어세트_그린,BRPH_PT5466-지퍼백(기성)",펜홀더피규어세트,,-,0 checked out of 1,,101,100,0 checked out of 4,0,0,0,"Phantom Parts, Printing Parts, Product Parts, Package Parts",정기(월),\1140000,,2026.8.3,,,,,,,,0,₩0,,0,0,,
PNA38461_0716_5501,2026.7.16,김하은,(주)영인기프트,PNA38461-26년7월_재고생산,PO074702,MM00220211,STCK_PT4400-라이트샤오미펜_화이트,라이트샤오미펜(화이트),,,0 checked out of 1,,1000,,0 checked out of 1,0,0,0,Product Parts,건별,\0,,2026.7.21,,,,,,,,0,₩0,,0,0,,
PNA52927_브랜디드 피규어 [1]_A1,2026.7.16,육승미,서울디지털인쇄협동조합,PNA52927-한국수력원자력새울원자력본부,PO074689,MM00220194,BRPR_PT4433-배경지(커스텀인쇄)(기본)_화이트+디지털풀컬러[OPP],배경지(기본),,-,0 checked out of 1,,110,100,0 checked out of 1,0,0,0,Package Parts,정기(월),\50000,,2026.7.22,,,,,,,,0,₩0,,0,0,,
PNA52927_브랜디드 피규어 [2]_A1,2026.7.16,육승미,서울디지털인쇄협동조합,PNA52927-한국수력원자력새울원자력본부,PO074695,MM00220198,BRPR_PT4433-배경지(커스텀인쇄)(기본)_화이트+디지털풀컬러[OPP],배경지(기본),,-,0 checked out of 1,,110,100,0 checked out of 1,0,0,0,Package Parts,정기(월),\50000,,2026.7.22,,,,,,,,0,₩0,,0,0,,
PNA52927_브릭스탠드 멀티충전기_B1,2026.7.16,육승미,서울디지털인쇄협동조합,PNA52927-한국수력원자력새울원자력본부,PO074692,MM00220203,BSMC_PT4951-사각스티커(커스텀인쇄)_화이트+디지털풀컬러,사각스티커(브릭스탠드 멀티충전 스테이션),,-,0 checked out of 1,,110,100,0 checked out of 1,0,0,0,Package Parts,정기(월),\50000,,2026.7.29,,,,,,,,0,₩0,,0,0,,
PNA52927_포켓 마켓백_B1,2026.7.16,육승미,서울디지털인쇄협동조합,PNA52927-한국수력원자력새울원자력본부,PO074696,MM00220201,PKMK_PT3138-핸들슬리브(커스텀인쇄)_화이트+디지털풀컬러,핸들슬리브(포켓 마켓백),,-,0 checked out of 1,,270,250,0 checked out of 1,0,0,0,Package Parts,정기(월),\0,,2026.7.29,,,,,,,,0,₩0,,0,0,,
PNA52927_펜홀더 피규어 세트_D1,2026.7.16,육승미,서울디지털인쇄협동조합,PNA52927-한국수력원자력새울원자력본부,PO074694,MM00220200,BRPH_PT5461-사각스티커(커스텀인쇄)_화이트+디지털풀컬러,사각스티커,,-,0 checked out of 1,,110,100,0 checked out of 1,0,0,0,Package Parts,정기(월),\50000,,2026.7.29,,,,,,,,0,₩0,,0,0,,
PNA52927_펜홀더 피규어 세트_A1,2026.7.16,육승미,서울디지털인쇄협동조합,PNA52927-한국수력원자력새울원자력본부,PO074687,MM00220171,BRPH_PT5459-배경지(커스텀인쇄)_화이트+디지털풀컬러,펜홀더 피규어 세트_배경지,,-,0 checked out of 1,,110,100,0 checked out of 1,0,0,0,Package Parts,정기(월),\50000,,2026.7.22,,,,,,,,0,₩0,,0,0,,
PNA52706_퀵차지 도킹형 보조배터리_B1,2026.7.16,육승미,서울디지털인쇄협동조합,PNA52706-드림센터경주,PO074698,MM00220197,QUIC_PT4290-사각스티커(커스텀인쇄)_화이트+디지털풀컬러,사각스티커(퀵차지보조배터리),,-,0 checked out of 1,,110,100,0 checked out of 1,0,0,0,Package Parts,정기(월),\40000,,2026.7.24,,,,,,,,0,₩0,,0,0,,
PNA52706_에브리 폴더블 멀티충전기_B1,2026.7.16,육승미,서울디지털인쇄협동조합,PNA52706-드림센터경주,PO074701,MM00220195,CHTW_PT5409-사각스티커(커스텀인쇄)_화이트+디지털풀컬러,사각스티커,,-,0 checked out of 1,,110,100,0 checked out of 1,0,0,0,Package Parts,정기(월),\40000,,2026.7.24,,,,,,,,0,₩0,,0,0,,
PNA38461_0716_2121,2026.7.16,김하은,주식회사 연준프로비전,PNA38461-26년7월_재고생산,PO074685,MM00220145,STCK_PT1779-골프공(타이틀리스트프로V1),골프공(화이트/타이틀리스트프로V1),,,0 checked out of 1,,312,,0 checked out of 1,1586000,0,1586000,Product Parts,건별,\0,26년 7월,2026.7.22,,,26.7.20-7.24_주식회사 연준프로비전,2026.7.23,,₩0,,1,₩1744600,지출예정,5592,1586000,,
PNA52148_브랜디드 피규어 키링 [1]_재제작_A2,2026.7.16,육승미,엠알오즈(MROZ),PNA52148-한국관광공사,PO074684,MM00220139,"BRPK_PT1318-실버팩_100-1,BRPK_PT4473-핸드블록(C),BRPK_PT4421-브랜디드피규어(기본피규어)_컬러,BRPK_PT4424-UV_피규어상체전면_엠알오즈(MROZ)[브랜디드피규어(기본피규어)],BRPK_PT5052-피규어부품(헤어/모자)_컬러,BRPK_PT4431-본드접착(키링)[브랜디드피규어(키링)],BRPK_PT5055-피규어부품(손)_컬러,BRPK_PT4728-브랜디드피규어키링_추상적산출물",브랜디드피규어키링,,-,0 checked out of 1,,122,,0 checked out of 8,0,0,0,"Package Parts, Product Parts, Printing Parts, Phantom Parts",정기(월),\0,,2026.7.20,,,,,,,,0,₩0,,0,0,,
PNA52361_프레젠트 골프공 3구_A2,2026.7.16,남인호,신시어리웨일즈 주식회사,PNA52361-이노스페이스,PO074672,MM00220115,"PSGB_PT1772-UV_동일시안_프레젠트골프공_마이골프볼[프레젠트골프공],PSGB_PT1779-골프공(타이틀리스트프로V1),PSGB_PT2558-골프공_추상적산출물",UV(골프공),,-,0 checked out of 1,,303,100,0 checked out of 3,0,0,0,"Printing Parts, Product Parts, Phantom Parts",정기(월),\2500000,,2026.7.29,,,,,,,,0,₩0,,0,0,,
PNA52442_임팩트 슬로건타월 [1]_C1,2026.7.16,육승미,서울디지털인쇄협동조합,PNA52442-안산문화재단,PO074680,MM00220128,IPST_PT4748-띠지(커스텀인쇄)_화이트,띠지(임팩트슬로건타월),,-,0 checked out of 1,,160,150,0 checked out of 1,0,0,0,Package Parts,정기(월),\90000,,2026.7.22,,,,,,,,0,₩0,,0,0,,
PNA52442_리멤버 타투스티커 [1]_B1,2026.7.16,육승미,서울디지털인쇄협동조합,PNA52442-안산문화재단,PO074682,MM00220126,TTSK_PT3295-배경지,배경지(리멤버 타투스티커),,-,0 checked out of 1,,160,150,0 checked out of 1,0,0,0,Package Parts,정기(월),\120000,,2026.7.22,,,,,,,,0,₩0,,0,0,,
PNA52672_아트워크 레더 다이어리_재재제작_A2,2026.7.16,남인호,신시어리웨일즈 주식회사,PNA52672-NHR,PO074683,MM00220132,"ATWK_PT2248-아트워크레더다이어리_커버_화이트,ATWK_PT2273-UV_전체_와이이케이글래스주식회사,ATWK_PT2714-아트워크레더다이어리_커버_추상적산출물",UV(아트워크 레더 다이어리),,-,0 checked out of 1,,1,,0 checked out of 3,0,0,0,"Product Parts, Printing Parts, Phantom Parts",정기(월),\0,,2026.7.15,,2026.7.16,,,,,,0,₩0,,0,0,,입하완료
PNA51136_하이킹 폴딩방석_재제작_A1,2026.7.16,김민지,(주)승화파트너스,PNA51136-해군본부,PO074662,MM00220066,"HIKF_PT2916-하이킹폴딩방석_바이어스/고정밴드_블랙,HIKF_PT2915-패브릭디지털_단면_(주)승화파트너스,HIKF_PT2938-하이킹폴딩방석_추상적산출물,HIKF_PT2911-하이킹폴딩방석",하이킹폴딩방석,,-,0 checked out of 1,,301,,0 checked out of 4,0,0,0,"Product Parts, Printing Parts, Phantom Parts",정기(격주),\0,,2026.7.22,,,,,,,,0,₩0,,0,0,,
PNA52361_셀렉티브 전동오프너&와인잔 세트_C1,2026.7.16,김민지,신명인쇄,PNA52361-이노스페이스,PO074669,MM00220099,"WWST_PT3200-캐리미와인잔(컵부분)[2개입],WWST_PT0457-실크_2개_Carryme와인잔_신명인쇄[캐리미와인잔],WWST_PT3217-캐리미와인잔_추상적산출물[2개입],WWST_PT3201-캐리미와인잔(받침대)_투명[2개입]",실크(Carry me 와인잔),,-,0 checked out of 1,,101,100,0 checked out of 4,0,0,0,"Product Parts, Printing Parts, Phantom Parts",정기(월),\0,,2026.7.28,,,,,,,,0,₩0,,0,0,,
PNA52442_임팩트 슬로건타월 [1]_A1,2026.7.16,김민지,(주)승화파트너스,PNA52442-안산문화재단,PO074679,MM00220129,"IPST_PT4746-승화전사_단면_(주)승화파트너스[임팩트슬로건타월],IPST_PT4745-임팩트슬로건타월_화이트,IPST_PT4771-임팩트슬로건타월_추상적산출물",임팩트슬로건타월,,-,0 checked out of 1,,152,150,0 checked out of 3,0,0,0,"Printing Parts, Product Parts, Phantom Parts",정기(격주),\778500,,2026.7.27,,,,,,,,0,₩0,,0,0,,
PNA52994_하이킹 폴딩방석_A1,2026.7.16,김민지,(주)승화파트너스,PNA52994-러쉬코리아,PO074663,MM00220067,"HIKF_PT2915-패브릭디지털_단면_(주)승화파트너스,HIKF_PT2916-하이킹폴딩방석_바이어스/고정밴드_블랙,HIKF_PT2938-하이킹폴딩방석_추상적산출물,HIKF_PT2911-하이킹폴딩방석",하이킹폴딩방석,,긴급,0 checked out of 1,,342,340,0 checked out of 4,0,0,0,"Printing Parts, Product Parts, Phantom Parts",정기(격주),\2312000,,2026.7.24,,,,,,,,0,₩0,,0,0,,
PNA52361_프레젠트 골프공 3구_B1,2026.7.16,김민지,(주)홍기씨앤디,PNA52361-이노스페이스,PO074671,MM00220113,PSGB_PT1389-볼마커(사각/원형.25x25이내.1-4색)_컬러,볼마커(사각/원형.25x25이내.1-4색),,-,0 checked out of 1,,101,100,0 checked out of 1,404000,0,404000,Product Parts,건별,\580000,,2026.7.29,,,26.7.27-7.31_(주)홍기씨앤디,2026.7.28,,₩0,,1,₩0,지출예정,4400,404000,,
PNA52953_모바일 오피스 파우치 2.0_A2,2026.7.16,김민지,개미기획,PNA52953-한국지역아동센터연합회,PO074666,MM00220094,"MOSL_PT5304-모바일오피스파우치2.0_추상적산출물,MOSL_PT5288-실크_실버1색[모바일오피스파우치2.0]",모바일오피스파우치2.0,,-,0 checked out of 1,,92,90,0 checked out of 2,0,0,0,"Phantom Parts, Product Parts",정기(격주),\279000,,2026.7.30,,,,,,,,0,₩0,,0,0,,
PNA52442_리멤버 타투스티커 [1]_A1,2026.7.16,김민지,마르멜로,PNA52442-안산문화재단,PO074681,MM00220127,TTSK_PT3291-리멤버타투스티커_화이트+디지털풀컬러,리멤버 타투스티커,,-,0 checked out of 1,,150,150,0 checked out of 1,0,0,0,Product Parts,정기(월),\585000,,2026.7.27,,,,,,,,0,₩0,,0,0,,
PNA52953_모바일 오피스 파우치 2.0_A1,2026.7.16,김민정,키멤버스,PNA52953-한국지역아동센터연합회,PO074665,MM00220097,MOSL_PT5286-모바일오피스파우치2.0_블랙,모바일오피스파우치2.0(블랙),,-,0 checked out of 1,,92,90,0 checked out of 1,0,0,0,Product Parts,건별,\2601000,,2026.7.20,,,,,,,,0,₩0,,0,0,,
PNA52734_브랜디드 피규어 키링 [2]_A2,2026.7.15,육승미,엠알오즈(MROZ),PNA52734-한양대학교일반대학원총학생회,PO074675,MM00220125,"BRPK_PT4421-브랜디드피규어(기본피규어)_컬러,BRPK_PT4424-UV_피규어상체전면_엠알오즈(MROZ)[브랜디드피규어(기본피규어)],BRPK_PT1318-실버팩_100-1,BRPK_PT5052-피규어부품(헤어/모자)_컬러,BRPK_PT5055-피규어부품(손)_컬러,BRPK_PT4728-브랜디드피규어키링_추상적산출물,BRPK_PT4431-본드접착(키링)[브랜디드피규어(키링)]",브랜디드피규어키링,,-,0 checked out of 1,,126,125,0 checked out of 7,0,0,0,"Product Parts, Printing Parts, Package Parts, Phantom Parts",정기(월),\1050000,,2026.8.3,,,,,,,,0,₩0,,0,0,,
PNA52734_브랜디드 피규어 키링 [1]_A2,2026.7.15,육승미,엠알오즈(MROZ),PNA52734-한양대학교일반대학원총학생회,PO074677,MM00220123,"BRPK_PT4421-브랜디드피규어(기본피규어)_컬러,BRPK_PT5055-피규어부품(손)_컬러,BRPK_PT4728-브랜디드피규어키링_추상적산출물,BRPK_PT1318-실버팩_100-1,BRPK_PT4431-본드접착(키링)[브랜디드피규어(키링)],BRPK_PT5052-피규어부품(헤어/모자)_컬러,BRPK_PT4424-UV_피규어상체전면_엠알오즈(MROZ)[브랜디드피규어(기본피규어)]",브랜디드피규어키링,,-,0 checked out of 1,,126,125,0 checked out of 7,0,0,0,"Product Parts, Phantom Parts, Package Parts, Printing Parts",정기(월),\1050000,,2026.8.3,,,,,,,,0,₩0,,0,0,,
PNA52734_브랜디드 피규어 키링 [1]_A1,2026.7.15,육승미,서울디지털인쇄협동조합,PNA52734-한양대학교일반대학원총학생회,PO074676,MM00220124,BRPK_PT4435-배경지(커스텀인쇄)(키링)_화이트+디지털풀컬러[실버팩],배경지(키링),,-,0 checked out of 1,,140,125,0 checked out of 1,0,0,0,Package Parts,정기(월),\87500,,2026.7.22,,,,,,,,0,₩0,,0,0,,
PNA52734_브랜디드 피규어 키링 [2]_A1,2026.7.15,육승미,서울디지털인쇄협동조합,PNA52734-한양대학교일반대학원총학생회,PO074678,MM00220122,BRPK_PT4435-배경지(커스텀인쇄)(키링)_화이트+디지털풀컬러[실버팩],배경지(키링),,-,0 checked out of 1,,140,125,0 checked out of 1,0,0,0,Package Parts,정기(월),\87500,,2026.7.22,,,,,,,,0,₩0,,0,0,,
PNA52361_프레젠트 골프공 3구_D1,2026.7.15,육승미,서울디지털인쇄협동조합,PNA52361-이노스페이스,PO074673,MM00220114,PSGB_PT1777-웰컴페이퍼(커스텀인쇄)(볼마커)_블랙+실버인쇄_100-2[싸바리뚜껑박스],웰컴페이퍼(볼마커_흑지+실버1도),비스포크,-,0 checked out of 1,,110,100,0 checked out of 1,0,0,0,Package Parts,정기(월),\180000,,2026.7.27,,,,,,,,0,₩0,,0,0,,
PNA52953_모바일 오피스 파우치 2.0_C1,2026.7.15,육승미,서울디지털인쇄협동조합,PNA52953-한국지역아동센터연합회,PO074667,MM00220089,MOSL_PT5291-사각스티커(커스텀인쇄)_화이트+디지털풀컬러,사각스티커,,-,0 checked out of 1,,100,90,0 checked out of 1,0,0,0,Package Parts,정기(월),\45000,,2026.7.27,,,,,,,,0,₩0,,0,0,,
PNA52361_셀렉티브 전동오프너&와인잔 세트_A1,2026.7.15,육승미,모토잉,PNA52361-이노스페이스,PO074668,MM00220101,"WWST_PT4443-레이저각인_1곳_모토잉[에센셜와인오프너세트],WWST_PT4487-에센셜와인오프너세트_추상적산출물,WWST_PT4442-에센셜와인오프너세트_블랙",에센셜와인오프너세트,,-,0 checked out of 1,,101,100,0 checked out of 3,1272600,16000,1288600,"Printing Parts, Phantom Parts, Product Parts",건별,\0,26년 7월,2026.7.24,,,26.7.20-7.24_모토잉,2026.7.23,,₩0,,1,₩1417460,지출예정,14034,1288600,,
PNA52361_셀렉티브 전동오프너&와인잔 세트_D1,2026.7.15,육승미,서울디지털인쇄협동조합,PNA52361-이노스페이스,PO074670,MM00220100,WWST_PT4451-사각스티커(커스텀인쇄)_화이트+디지털풀컬러,사각스티커(셀렉티브 전동오프너&와인잔 세트),,-,0 checked out of 1,,110,100,0 checked out of 1,0,0,0,Package Parts,정기(월),\50000,,2026.7.27,,,,,,,,0,₩0,,0,0,,
PNA52361_프레젠트 골프공 3구_C1,2026.7.15,이난영,주식회사 모아패키지,PNA52361-이노스페이스,PO074674,MM00220108,"PSGB_PT4869-색박(음각)_싸바리뚜껑박스_50x100_주식회사모아패키지,PSGB_PT4867-싸바리뚜껑박스_추상적산출물,PSGB_PT4868-싸바리뚜껑박스(커스텀인쇄)_컬러",싸바리뚜껑박스(프레젠트골프공),,-,0 checked out of 1,,103,100,0 checked out of 3,0,0,0,"Printing Parts, Phantom Parts, Package Parts",정기(월),\1510000,,2026.7.30,,,,,,,,0,₩0,,0,0,,
PNA52953_미니어처 NFC 키링_A1,2026.7.15,이난영,주식회사 프래그(PRAG Corp.),PNA52953-한국지역아동센터연합회,PO074664,MM00220095,"MNFC_PT5235-OPP(기성)_투명_000-6,MNFC_PT5242-회전D링(니켈),MNFC_PT5233-배경지(커스텀인쇄)(OPP)_화이트+디지털풀컬러_000-17,MNFC_PT5236-미니어처NFC키링(책),MNFC_PT5274-미니어처NFC키링_추상적산출물",미니어처NFC키링,,-,0 checked out of 1,,103,100,0 checked out of 5,0,0,0,"Package Parts, Product Parts, Phantom Parts",정기(월),\800000,,2026.7.30,,,,,,,,0,₩0,,0,0,,
PNA52206_데일리 짐색_A1,2026.7.15,김민지,(주)승화파트너스,PNA52206-유네스코한국위원회,PO074396,"MM00218620,MM00218624,MM00219366","DLYG_PT3364-케어라벨(전용)_나일론크로스+블랙인쇄,DLYG_PT4030-데일리짐색_바이어스/스트링_블랙,DLYG_PT4026-샘플(본제작과동일옵션)_(주)승화파트너스,DLYG_PT4028-데일리짐색,DLYG_PT4027-데일리짐색_추상적산출물,DLYG_PT4031-패브릭디지털_(주)승화파트너스",데일리짐색,,긴급,0 checked out of 3,,609,"600, 3",0 checked out of 6,7536650,35000,7571650,"Product Parts, Printing Parts, Phantom Parts",정기(격주),\5607000,26년 7월,"2026.7.8, 2026.8.7, 2026.7.13",,,26.7.13-7.17_(주)승화파트너스,2026.7.16,,₩0,,1,₩37117584,기안작성완료,13676,7571650,,"입하완료,입하완료"
PNA52206_데일리 짐색[2]_A1,2026.7.15,김민지,(주)승화파트너스,PNA52206-유네스코한국위원회,PO074661,"MM00220058,MM00220059","DLYG_PT3364-케어라벨(전용)_나일론크로스+블랙인쇄,DLYG_PT4026-샘플(본제작과동일옵션)_(주)승화파트너스,DLYG_PT4030-데일리짐색_바이어스/스트링_블랙,DLYG_PT4031-패브릭디지털_(주)승화파트너스,DLYG_PT4028-데일리짐색,DLYG_PT4027-데일리짐색_추상적산출물",데일리짐색,,긴급,0 checked out of 2,,605,"600, 2",0 checked out of 6,0,0,0,"Product Parts, Printing Parts, Phantom Parts",정기(격주),\0,,"2026.7.20, 2026.8.7",,,,,,,,0,₩0,,0,0,,
