Goods Name,Goods Code,굿즈 Status,출시일,졸업일,출시예정일
인앤아웃 캠핑 폴딩박스,IAOU,졸업,2022-05-13,2025-05-13,2022-05-12
홀리데이 네임택,HLDN,판매중,2024-06-21,,2024-06-21
홈카페 코스터,HCCO,판매중,2021-06-03,,
심볼 NFC 키링,NFCA,판매중,2026-03-25,,
로고스트랩 파우치,LOPU,판매중,2020-10-07,,
Clean me Softly 핸드워시,HDWS,졸업,2019-04-19,2021-01-08,
어썸그립,AXGR,판매중,2020-11-02,,
Open 페이퍼박스,OPPB,판매중,2020-09-25,,
스마트 3in1 무선충전기,DP09,졸업,,,
퀄리-티셔츠,QTSH,졸업,2021-05-24,2023-05-25,
마이오피스 피규어 세트,,,,,
노마드 백팩,NMBP,졸업,2021-01-29,2022-03-22,
아이콘 콜드컵,ICCC,졸업,2020-04-01,2025-12-31,
SIGG 스위스 보틀,SIGB,졸업,2020-07-06,2021-01-12,
액티브 미니 마사지건,DP33,졸업,,,
클립 아트펜,CLIP,판매중,2020-04-29,,
펠트스트링파우치,FSPC,판매중,2020-11-18,,
아너 월넛 트로피 ,HNWT,판매중,2025-11-28,,
재고생산,STCK,판매중,,,
락앤락 | 슬림 텀블러,DP34,졸업,,,
ECO 페이퍼박스,ECPB,판매중,2021-03-18,,
스트레치 사원증 홀더,STHD,판매중,2021-09-02,,
컨시어지,CCRG,졸업,2018-08-01,2021-06-10,
BrandFit 커스텀 쇼핑백,BFSB,판매중,2024-07-31,,2024-07-31
에브리타임 롱기스트,ETLG,졸업,2021-07-27,2022-07-18,
트리플 컬러펜 | JETSTREAM,TRPC,판매중,2022-07-14,,2022-07-14
Stationery 페이퍼박스,STBX,판매중,2023-09-20,,
로지텍 페블 블루투스 마우스,BLTS,졸업,2024-04-16,2025-07-28,2024-04-16
클로저 휴대폰 스트랩,CHST,판매중,2025-11-05,,
인스타 피규어,CPLG,졸업,2019-09-10,,
퀵 버튼링 노트,QBRN,판매중,2023-09-04,,
,,,,,
헬로 카드형 USB,HUSB,판매중,2024-11-22,,2024-11-22
데코 무선 가습기,DCMS,졸업,2022-03-04,2024-12-31,2022-03-03
프레젠트 골프공 3구,PSGB,판매중,2021-02-05,,
데일리 칫솔살균기 | 아이리버,DLYC,판매중,2026-03-06,,
바캉스 드라이백,DRYB,졸업,2019-07-29,2022-05-24,
오브제 패드 세트,OBPS,졸업,2019-11-01,2021-01-12,
클래시 차량용 방향제,CCAF,판매중,2021-08-17,,
킵세이프 마그넷 배터리 Max,KSBM,판매중,2025-09-25,,
더블업 트래블 파우치,DTPL,판매중,2023-05-19,,2023-05-19
메세지 스트랩,MSST,졸업,2019-10-07,2025-07-09,
플레인 USB,PUSB,졸업,2019-02-01,2026-07-13,
브릭 메모&캘린더 스탠드,BMCH,판매중,2025-07-25,2026-02-13,2025-07-25
인마이백 피크닉매트,KRDJ,판매중,2024-01-30,,2024-01-30
드레스업 손거울,DRSU,판매중,2022-06-24,,2022-07-07
