movement_id,이슈카테고리,입하예정일,실제입하일,프로젝트_발주자,출하장소,project_name,item (통합) (from order),이동수량_예정,입하수량,검수수량,불량수량_샘플링검수,재제작/추가제작,운영이슈내용(by물류),운영이슈개선여부,운영이슈개선방안_SCM,수량이슈내용,수량이슈대응방안_SCM,품질이슈내용구분,품질이슈대응필요여부,품질이슈내용,품질등급최초판정,품질등급의견_SCM,품질등급의견판단사유_SCM,품질이슈대응방안_SCM,이슈발생_Report,대표품목 계정구분 (from task)
MM00154216,수량이슈,2025.8.22,2025.8.18,육승미,디지탈준,PNA35206-강북삼성병원,"어텐션스포츠보틀, 주의사항표기서(전용), 어텐션스포츠보틀, UV",202,202,,,,,,,"발주수량 202ea
입하수량 200ea
정수량 기준 2ea 부족합니다.",금일 오후 중 퀵으로 2개 입고 예정입니다 ,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/reccwsRWn3aCv0hO3,8.수익
MM00152852,수량이슈,2025.8.19,2025.8.11,김민지,유노타월 유노디자인,PNA35101-모두의연구소,"브랜디드 타월, 브랜디드 타월, 자수",102,103,,,,,,,"발주수량 104ea
입하수량 103ea입니다.
",지출시 1개 빼고 지출하겠습니다.,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/rec5cigqEhqi0E47K,8.수익
MM00153495,수량이슈,2025.8.19,2025.8.19,김민지,주식회사 케이원랩(KWON LAB),PNA34506-MSECM,"데코스티커, 데코스티커, OPP",99,99,,,,,,,"발주수량 100ea
입하수량 99ea
여유수량 없으며, 부족수량 1ea입니다.
(3번 카운트 해 보았습니다. 2번은 무게로 1번은 손으로 세어봄)",1개 추가 받음,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recKQs1XAWlgEABGc,5.상품
MM00151888,수량이슈,2025.8.18,2025.8.18,육승미,디지탈준,PNA34937-ALPS,"어텐션스포츠보틀, 어텐션스포츠보틀, 주의사항표기서(전용), UV, 단품박스, 샘플(UV인쇄)",202,202,,,,,,,"발주수량 202ea
입하수량 200ea
정수량 기준 2ea 부족합니다.",금일 오후 중 퀵으로 2개 입고 예정입니다 ,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recCH4FQcCTx9Pxe6,8.수익
MM00153050,수량이슈,2025.8.14,2025.8.12,김민지,유노타월 유노디자인,PNA34668-영등포문화재단,"브랜디드 타월, 자수, 브랜디드 타월",223,225,,,,,,,"발주수량 226
입하수량 225
수량이슈이나 정수량에 문제없어 내용만 공유 드립니다.",,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recg9NYVDp2LaAUEe,8.수익
MM00152828,수량이슈,2025.8.13,2025.8.11,김민지,유엘상사,PNA34185-이든앤앨리스마케팅,"레더라벨캠핑체어(세트_본품및파우치), 주의사항표기서, 레더라벨캠핑체어, 레더라벨(체어시트), 공박(음각), 공박(음각), 레더라벨(파우치)",200,201,,,,,,,발주수량/입하수량 모두 201ea이나 커버 손잡이 도금 불량 1건으로 200ea만 입고처리합니다.,201개 중 1개는 제품 자체의 문제로 제외 후 출고 ,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recCcawqZisWgYY7Q,"8.수익,8.수익"
MM00149905,수량이슈,2025.8.11,2025.7.31,김민지,(주)승화파트너스,PNA34225-도루코,"데일리짐색, 데일리짐색, 케어라벨(전용), 패브릭디지털, 데일리짐색_바이어스/스트링, 샘플(본제작과동일옵션)",500,500,,,,,,,"발주수량 502
입고수량 500으로 여유수량 없이 입고 처리합니다.
(박스에는 505라고 써있었으나 170,170,160개입으로 총 3박스 입고 됨.)","500개만 입고, 지출시 500개로 정정하여 지출하겠습니다.",,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/reck2Ed6WLV3JB9Ml,5.상품
MM00150499,수량이슈,2025.8.6,2025.8.4,김하은,엠알오즈(MROZ),PNA34657-한국지역아동센터연합회,"본드접착(키링), 브랜디드피규어(기본피규어), UV, 브랜디드피규어키링, 실버팩",117,117,,,,,,,"과업지시서 내 발주수량 101개이며, 입고수량도 105개이나 견적서 내 발주수량은 110개로 확인 필요 해 보입니다.",,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recE1u3cz6reDCvvj,5.상품
MM00152285,수량이슈,2025.8.6,2025.8.5,김하은,(주)명성,PNA34265-어센틱금융그룹,"월드와이드멀티어댑터, 샘플(월드와이드멀티어댑터)",100,100,,,추가제작,,,,"발주수량 100
입하수량 60
택배배송 건이라 내일까지 체크 후 공유 드리겠습니다",,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recadahVOSqHGGM1Q,5.상품
MM00152346,수량이슈,2025.8.6,2025.8.5,김하은,(주)명성,PNA34635-데마틱코리아,월드와이드멀티어댑터,51,51,,,,,,,"발주수량 51
입하수량 31
택배입고 건이라 내일까지 확인 후 공유드리겠습니다.",,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/rec9iiAS5ZGsxKFGO,5.상품
MM00150343,수량이슈,2025.8.4,2025.8.4,김하은,엠알오즈(MROZ),PNA34258-서울시정신건강복지센터,"브랜디드피규어(기본피규어), UV, 본드접착(키링), 브랜디드피규어키링, 실버팩",304,304,,,,,,,"발주수량 303ea
입고수량 251ea
부족수량 52ea입니다",,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/rect7CEh3Nu608qvf,5.상품
MM00150541,수량이슈,2025.8.4,2025.8.1,김하은,(주)피알판촉,PNA31189-25년7월_재고생산,와이드클립 펜,10999,10999,,,,,,,입고예정수량보다 1개 부족,"10,999개로 입고 처리 부탁드립니다.",,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recIgMOSGofdIW9sl,5.상품
MM00150216,수량이슈,2025.8.1,2025.7.31,김민지,"하나 세라믹,홍보요업",PNA32364-수원시공원녹지사업소수목원과,"뮤지엄머그, 뮤지엄머그, 전사, 전사",102,102,,,,,,,"발주수량 102ea
입고수량 75ea
부족수량 27ea입니다.
택배입고건이라 분할입고 감안하여 내일까지 기다려보고 공유드리겠습니다.",,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recYmSTYZZzdduwfL,"8.수익,8.수익"
MM00149699,수량이슈,2025.7.31,2025.7.31,김민지,"하나 세라믹,홍보요업",PNA34097-에이엠코스메틱,"뮤지엄머그, 뮤지엄머그, 전사, 전사",303,303,,,,,,,"발주수량 302ea
입고수량 93ea
부족수량 209ea 입니다.
택배입고건이라 분할입고 감안하여 내일까지 기다려보고 공유드리겠습니다.",,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recl1MaZXu34XYwST,"8.수익,8.수익"
MM00149306,수량이슈,2025.7.29,2025.7.28,김민지,주식회사 디자인오엔,PNA34570-한국뇌연구원,"내추럴노트_커버, 내추럴노트, 성책, 색박(음각), 내추럴노트_내지(만년)",201,201,,,,,,,"발주수량 201ea
입고수량 200ea
정수량에서 1개 부족합니다",1개 누락되어 추가입고 예정,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recGiVfS8xwEpFgta,8.수익
MM00151207,수량이슈,2025.7.29,2025.7.29,김하은,이지굿스,PNA34418-엣지랭크,,1,1,,,,,,,발주수량 2개이나 1개(3종)입고되었습니다,샘플 2개가 한 장에 같이 들어온 거라 잘라서 출고 부탁드립니다. (잘랐을 때 숫자 구분도 부탁드립니다!) ,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recp6SzDnvtMWeLBw,8.수익
MM00147530,수량이슈,2025.7.23,2025.7.21,이난영,(주)청산인쇄,PNA31189-25년7월_재고생산,텀블러류지지박스,1973,1973,,,,,,,"입고 예정 수량 2,000개 > 실입고 수량 1,973개",협력사에서 정량보다 부족하게 작업된 것 같습니다. 발주수량을 수정하고 청구서 검토시에 반영하겠습니다.,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recT0EhnqTDMEuHg8,8.수익
MM00147900,수량이슈,2025.7.16,2025.7.17,김민지,(주)홍기씨앤디,PNA34410-메가존클라우드,볼마커(자유형.25x25이내.1-4색),103,103,,,,,,,"50개 발주 건이나 103개 입고 되었습니다.
추가 수량이 과하게 많은 듯 하여 다른 이유가 있는지 확인차 이슈 설정합니다.",본건 moq가 100개라서 50개여도 100개가 제작되고 있습니다. 참고 부탁드립니다.,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recqe2w8EUrBUqUrt,5.상품
MM00148128,수량이슈,2025.7.15,2025.7.11,김민지,신명인쇄,PNA34255-디윅스,"아이콘펜(바디), 인쇄된아이콘펜, 실크",110,202,,,,,,,고객주문수량 100개이나 201개 발주/202개 입고여서 내용 공유드립니다! 전량 입고하면 될 지 확인 부탁드립니다.,발주담당자 실수로 100개 오버 제작되어 90개 폐기합니다. (지워서 사용불가함),,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recZzJTbm9SoHFfDS,8.수익
MM00145497,수량이슈,2025.7.14,2025.7.14,김민지,(주)승화파트너스,PNA34241-서울우유협동조합,"하이킹폴딩방석, 하이킹폴딩방석, 패브릭디지털, 하이킹폴딩방석_바이어스/고정밴드, 샘플(본제작과동일옵션)",494,494,,,,,,,"수량 부족하게 입하되었습니다.

62개x1박스
72개×6박스

총 494개, 7박스 입고",협력사에서 출고시 8개 누락되어 7/15 오전 추가 입고 예정,,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/recfbVRCJ6LfqWWpZ,5.상품
MM00147531,수량이슈,2025.7.14,2025.7.11,김하은,착한포장,PNA31189-25년7월_재고생산,투명손잡이지퍼백(L),5022,5022,,,,,,,"800개입 6카톤 + 152개입 1카톤 =7카톤 4,952개 
48개 부족 //  7/14 택배 1ct 70ea 추가입고","협력사 수량 누락, 약 70장 추가로 발송예정입니다.  (로젠택배 416-5122-2616)",,,,,,,,https://web.miniextensions.com/ea0dYRBb4a6tZkc8rmuB/rec8rXbLK1MLp1j8K,8.수익
