Name,파츠명,판매상태,변경일(인터페이스용),판매상태 변경사유,재고소유구분 (from sync_parts),적용 굿즈명,품절 성격,품절 사유,굿즈품절여부,공유대상
SSU002093,PT1213-스펙트럼컬러펜(컬러잉크)_옐로우,일시품절,2026.3.23,"스펙트럼컬러펜(컬러잉크) 옵션 전체 일시품절 공지 드립니다. 19개 색상 중 주요 옵션(그린 계열, 다크네이비 등)이 모두 품절 및 재입고 일정 미정으로 운영 실효성 낮아 상시 운영을 중단하고 문의에 한해 MRP 기준으로 건별 대응 부탁드립니다. 
**리인벤트에디션 및 블랙잉크 옵션은 판매 가능",협력사,스펙트럼 컬러펜,의도적품절,의도적_리스크대비,,
SSU002094,PT1218-스펙트럼컬러펜(컬러잉크)_씨블루,일시품절,2026.3.23,"스펙트럼컬러펜(컬러잉크) 옵션 전체 일시품절 공지 드립니다. 19개 색상 중 주요 옵션(그린 계열, 다크네이비 등)이 모두 품절 및 재입고 일정 미정으로 운영 실효성 낮아 상시 운영을 중단하고 문의에 한해 MRP 기준으로 건별 대응 부탁드립니다. 
**리인벤트에디션 및 블랙잉크 옵션은 판매 가능",협력사,스펙트럼 컬러펜,의도적품절,의도적_리스크대비,,
SSU002095,PT1217-스펙트럼컬러펜(컬러잉크)_리프그린,일시품절,2026.3.23,"스펙트럼컬러펜(컬러잉크) 옵션 전체 일시품절 공지 드립니다. 19개 색상 중 주요 옵션(그린 계열, 다크네이비 등)이 모두 품절 및 재입고 일정 미정으로 운영 실효성 낮아 상시 운영을 중단하고 문의에 한해 MRP 기준으로 건별 대응 부탁드립니다. 
**리인벤트에디션 및 블랙잉크 옵션은 판매 가능",협력사,스펙트럼 컬러펜,의도적품절,의도적_리스크대비,,
SSU002096,PT1203-스펙트럼컬러펜(컬러잉크)_오렌지,일시품절,2026.3.23,"스펙트럼컬러펜(컬러잉크) 옵션 전체 일시품절 공지 드립니다. 19개 색상 중 주요 옵션(그린 계열, 다크네이비 등)이 모두 품절 및 재입고 일정 미정으로 운영 실효성 낮아 상시 운영을 중단하고 문의에 한해 MRP 기준으로 건별 대응 부탁드립니다. 
**리인벤트에디션 및 블랙잉크 옵션은 판매 가능",협력사,스펙트럼 컬러펜,의도적품절,의도적_리스크대비,,
SSU002097,PT1220-스펙트럼컬러펜(컬러잉크)_다크블루,일시품절,2026.3.23,"스펙트럼컬러펜(컬러잉크) 옵션 전체 일시품절 공지 드립니다. 19개 색상 중 주요 옵션(그린 계열, 다크네이비 등)이 모두 품절 및 재입고 일정 미정으로 운영 실효성 낮아 상시 운영을 중단하고 문의에 한해 MRP 기준으로 건별 대응 부탁드립니다. 
**리인벤트에디션 및 블랙잉크 옵션은 판매 가능",협력사,스펙트럼 컬러펜,의도적품절,의도적_리스크대비,,
SSU002098,PT1221-스펙트럼컬러펜(컬러잉크)_화이트,일시품절,2026.3.23,"스펙트럼컬러펜(컬러잉크) 옵션 전체 일시품절 공지 드립니다. 19개 색상 중 주요 옵션(그린 계열, 다크네이비 등)이 모두 품절 및 재입고 일정 미정으로 운영 실효성 낮아 상시 운영을 중단하고 문의에 한해 MRP 기준으로 건별 대응 부탁드립니다. 
**리인벤트에디션 및 블랙잉크 옵션은 판매 가능",협력사,스펙트럼 컬러펜,의도적품절,의도적_리스크대비,,
SSU002099,PT1205-스펙트럼컬러펜(컬러잉크)_퍼플,일시품절,2026.3.23,"스펙트럼컬러펜(컬러잉크) 옵션 전체 일시품절 공지 드립니다. 19개 색상 중 주요 옵션(그린 계열, 다크네이비 등)이 모두 품절 및 재입고 일정 미정으로 운영 실효성 낮아 상시 운영을 중단하고 문의에 한해 MRP 기준으로 건별 대응 부탁드립니다. 
**리인벤트에디션 및 블랙잉크 옵션은 판매 가능",협력사,스펙트럼 컬러펜,의도적품절,의도적_리스크대비,,
SSU002100,PT1212-스펙트럼컬러펜(컬러잉크)_블루,일시품절,2026.3.23,"스펙트럼컬러펜(컬러잉크) 옵션 전체 일시품절 공지 드립니다. 19개 색상 중 주요 옵션(그린 계열, 다크네이비 등)이 모두 품절 및 재입고 일정 미정으로 운영 실효성 낮아 상시 운영을 중단하고 문의에 한해 MRP 기준으로 건별 대응 부탁드립니다. 
**리인벤트에디션 및 블랙잉크 옵션은 판매 가능",협력사,스펙트럼 컬러펜,의도적품절,의도적_리스크대비,,
SSU002101,PT1222-스펙트럼컬러펜(컬러잉크)_브라운,일시품절,2026.3.23,"스펙트럼컬러펜(컬러잉크) 옵션 전체 일시품절 공지 드립니다. 19개 색상 중 주요 옵션(그린 계열, 다크네이비 등)이 모두 품절 및 재입고 일정 미정으로 운영 실효성 낮아 상시 운영을 중단하고 문의에 한해 MRP 기준으로 건별 대응 부탁드립니다. 
**리인벤트에디션 및 블랙잉크 옵션은 판매 가능",협력사,스펙트럼 컬러펜,의도적품절,의도적_리스크대비,,
SSU002102,PT1215-스펙트럼컬러펜(컬러잉크)_네온핑크,일시품절,2026.3.23,"스펙트럼컬러펜(컬러잉크) 옵션 전체 일시품절 공지 드립니다. 19개 색상 중 주요 옵션(그린 계열, 다크네이비 등)이 모두 품절 및 재입고 일정 미정으로 운영 실효성 낮아 상시 운영을 중단하고 문의에 한해 MRP 기준으로 건별 대응 부탁드립니다. 
**리인벤트에디션 및 블랙잉크 옵션은 판매 가능",협력사,스펙트럼 컬러펜,의도적품절,의도적_리스크대비,,
SSU002103,PT1210-스펙트럼컬러펜(컬러잉크)_핑크,일시품절,2026.3.23,"스펙트럼컬러펜(컬러잉크) 옵션 전체 일시품절 공지 드립니다. 19개 색상 중 주요 옵션(그린 계열, 다크네이비 등)이 모두 품절 및 재입고 일정 미정으로 운영 실효성 낮아 상시 운영을 중단하고 문의에 한해 MRP 기준으로 건별 대응 부탁드립니다. 
**리인벤트에디션 및 블랙잉크 옵션은 판매 가능",협력사,스펙트럼 컬러펜,의도적품절,의도적_리스크대비,,
SSU002104,PT1204-스펙트럼컬러펜(컬러잉크)_그린,일시품절,2026.3.23,"스펙트럼컬러펜(컬러잉크) 옵션 전체 일시품절 공지 드립니다. 19개 색상 중 주요 옵션(그린 계열, 다크네이비 등)이 모두 품절 및 재입고 일정 미정으로 운영 실효성 낮아 상시 운영을 중단하고 문의에 한해 MRP 기준으로 건별 대응 부탁드립니다. 
**리인벤트에디션 및 블랙잉크 옵션은 판매 가능",협력사,스펙트럼 컬러펜,의도적품절,의도적_리스크대비,,
SSU002105,PT1224-스펙트럼컬러펜(컬러잉크)_버건디,일시품절,2026.3.23,"스펙트럼컬러펜(컬러잉크) 옵션 전체 일시품절 공지 드립니다. 19개 색상 중 주요 옵션(그린 계열, 다크네이비 등)이 모두 품절 및 재입고 일정 미정으로 운영 실효성 낮아 상시 운영을 중단하고 문의에 한해 MRP 기준으로 건별 대응 부탁드립니다. 
**리인벤트에디션 및 블랙잉크 옵션은 판매 가능",협력사,스펙트럼 컬러펜,의도적품절,의도적_리스크대비,,
SSU002115,PT2242-포터블캠핑롤테이블(세트_본품및파우치)_블랙,의도적 품절,2026.3.27,재고 소진 (졸업 검토 대상으로 재입고 예정 미정입니다.) ,신시어리,포터블 피크닉 롤테이블,의도적품절,의도적_졸업예정,checked,
SSU002119,PT3856-미스트워터보틀_더스티핑크,일시품절,2026.3.31,사용 가능 재고 50개 미만으로 품절 안내 드립니다. (재입고 일정 미정이며 확인되는대로 재공유) ,신시어리,미스트 워터보틀,비의도적품절,비의도적_납기지연,,
SSU002123,PT3306-트래블2in1목베개,일시품절,2026.4.3,"목베게 충전재(비즈볼) 충전기계 고장으로 일시품절 처리 하였습니다.
현재 비즈볼 충전기계 수리업체가 전국1곳인데 지방에서 서울로 올라오지 못하는 상황이라 일정협의 중이고
비즈볼 충전기계 보유하는 공장도 수배중입니다. 추가적으로 상황 업데이트시 공유드리겠습니다.",생산,트래블 2in1 목베개,비의도적품절,비의도적_공급부족,checked,
SSU002127,PT2343-포인트업러그_러그(반원형.단모),일시품절,2026.4.7,협력사와 연락이 되지 않아 일시품절 처리합니다.,생산,포인트업 러그,비의도적품절,비의도적_기타,checked,
