파츠번호,재고귀속파츠번호,task_id,sync_item,과업지시상태,발주지시수량,과업지시일자,입하여부,입하수량,실제입하일(from. movement),공급가액,결제일(from. 지출결의),지출금액(vat 포함),지출결의비고,project,수주처,공급가액단가,입하예정일,,
#N/A,,PNA23522_0102_2101,,발주진행완료,1000,2024.1.2,,,,"5,200,000",2024.2.1,"5,720,000",,PNA23522-24년1월_재고생산,엔엠텍코리아주식회사,"5,200",2024.1.26,24년1월,
#N/A,,PNA23522_0102_2861,,발주진행완료,1000,2024.1.2,,,,"4,100,000",2024.2.8,"4,510,000",,PNA23522-24년1월_재고생산,엔엠텍코리아주식회사,"4,100",2024.1.26,24년1월,
#N/A,,PNA23522_0102_0451,,발주진행완료,3000,2024.1.3,입하완료,3020,2024.1.22,"5,481,000",2024.2.8,"6,029,100",,PNA23522-24년1월_재고생산,주식회사 팩토리비인쇄그룹,"1,827",2024.1.26,24년1월,
#N/A,,PNA23522_0116_2901,,발주진행완료,3000,2024.1.17,입하완료,3100,2024.1.22,"157,500",2024.2.19,"173,250",,PNA23522-24년1월_재고생산,주식회사 베러웨이시스템즈,53,2024.1.26,24년1월,
#N/A,,PNA23522_0123_2801,,발주진행완료,500,2024.1.25,입하완료,,2024.3.7,"4,250,000",2024.2.1,"4,675,000",,PNA23522-24년1월_재고생산,(주)데코컴퍼니,"8,500",2024.1.26,24년1월,
#N/A,,PNA23522_0124_1651,,발주진행완료,2000,2024.1.24,,,,"3,454,545",2024.2.16,"3,800,000",,PNA23522-24년1월_재고생산,엘바 (ELVA),"1,727",2024.1.26,24년1월,
#N/A,,PNA23522_0119_4441,,발주진행완료,1000,2024.1.22,,,,"70,000",2024.2.19,"77,000",,PNA23522-24년1월_재고생산,주식회사 베러웨이시스템즈,70,2024.1.29,24년1월,
#N/A,,PNA23522_0104_1331,,발주진행완료,3000,2024.9.3,입하완료,3070,2024.1.29,"9,900,000",2024.2.19,"10,890,000",,PNA23522-24년1월_재고생산,(주)청산인쇄,"3,300",2024.1.30,24년1월,
#N/A,,PNA23522_0115_3531,,발주진행완료,1000,2024.9.3,입하완료,1133,2024.1.26,"691,000",2024.2.19,"760,100",,PNA23522-24년1월_재고생산,(주)청산인쇄,691,2024.1.30,24년1월,
#N/A,,PNA23522_0123_2371,,발주진행완료,5000,2024.1.23,입하완료,5000,2024.1.30,"1,000,000",2024.1.25,"1,100,000",,PNA23522-24년1월_재고생산,주식회사 아조아(AJOAH),200,2024.1.30,24년1월,
#N/A,,PNA23522_0102_4091,,발주진행완료,5990,2024.1.2,입하완료,,2024.4.4,"11,560,700",2024.1.16,"12,716,770",,PNA23522-24년1월_재고생산,RD상사(세나토코리아),"1,930",2024.1.31,24년1월,
#N/A,,PNA23522_0115_2011,,발주진행완료,1000,2024.1.15,입하완료,1015,2024.1.30,"900,000",2024.2.15,"990,000",,PNA23522-24년1월_재고생산,주식회사 센트온,900,2024.1.31,24년1월,
#N/A,,PNA23522_0123_1991,,발주진행완료,1000,2024.1.24,,,,"94,500",2024.2.19,"103,950",,PNA23522-24년1월_재고생산,주식회사 베러웨이시스템즈,95,2024.1.31,24년1월,
#N/A,,PNA23522_0123_2241,,발주진행완료,2000,2024.1.23,입하완료,2000,2024.1.26,"258,000",2024.2.15,"283,800",,PNA23522-24년1월_재고생산,백제레스,129,2024.1.31,24년1월,
#N/A,,PNA23522_0123_2671,,발주진행완료,1000,2024.1.24,입하완료,,2024.5.14,"105,000",2024.2.19,"115,500",,PNA23522-24년1월_재고생산,주식회사 베러웨이시스템즈,105,2024.1.31,24년1월,
#N/A,,PNA23522_0123_1981,,발주진행완료,1000,2024.1.25,,,,"4,200,000",2024.2.8,"4,620,000",,PNA23522-24년1월_재고생산,주식회사 제이더블유굿즈,"4,200",2024.1.31,24년1월,
#N/A,,PNA23522_0123_3951,,발주진행완료,1000,2024.1.24,,,,"300,000",2024.2.22,"330,000",,PNA23522-24년1월_재고생산,서울디지털인쇄협동조합,300,2024.1.31,24년1월,
#N/A,,PNA23522_0124_4011,,발주진행완료,3000,2024.1.24,입하완료,,2024.2.2,"510,000",2024.2.8,"561,000",,PNA23522-24년1월_재고생산,평화산업,170,2024.1.31,24년1월,
PT0501,,PNA23522_0129_0151,STCK_PT0501-미르텀블러_화이트,발주진행완료,300,2024.1.29,입하완료,300,2024.1.29,"5,138,182",2024.2.8,"5,652,000",,PNA23522-24년1월_재고생산,주식회사 따벨라,"17,127",2024.1.31,24년1월,
#N/A,,PNA23522_0102_2941,,발주진행완료,500,2024.1.4,"입하완료, 입하완료",,"2024.1.16, 2024.1.16","650,000",2024.1.16,"715,000",,PNA23522-24년1월_재고생산,주식회사 이우피앤씨,"1,300","2024.1.31, 2024.1.31",24년1월,
#N/A,,PNA23522_0119_3301,,발주진행완료,500,2024.1.22,입하완료,,2024.3.14,"1,073,500",2024.2.8,"1,180,850",,PNA23522-24년1월_재고생산,주식회사 팩토리비인쇄그룹,"2,147",2024.2.2,24년1월,
#N/A,,PNA23522_0119_3281,,발주진행완료,500,2024.1.22,입하완료,550,2024.1.31,"1,036,000",2024.2.8,"1,139,600",,PNA23522-24년1월_재고생산,주식회사 팩토리비인쇄그룹,"2,072",2024.2.2,24년1월,
#N/A,,PNA23522_0104_4081,,발주진행완료,2000,2024.1.9,입하완료,2000,2024.2.6,"16,727,273",2024.2.15,"18,400,000",,PNA23522-24년1월_재고생산,비투비 커머스,"8,364",2024.2.6,24년1월,
#N/A,,PNA23522_0123_2441,,발주진행완료,5000,2024.1.23,입하완료,5000,2024.2.5,"390,000",2024.2.13,"429,000",,PNA23522-24년1월_재고생산,유성(구.유성테프),78,2024.2.6,24년1월,
#N/A,,PNA23522_0123_0051,,발주진행완료,3000,2024.9.3,입하완료,3068,2024.2.2,"1,203,000",2024.2.19,"1,323,300",,PNA23522-24년1월_재고생산,(주)청산인쇄,401,2024.2.7,24년1월,
#N/A,,PNA23522_0123_2051,,발주진행완료,1000,2024.1.23,입하완료,1000,2024.2.5,"267,273",2024.2.1,"294,000",,PNA23522-24년1월_재고생산,착한포장,267,2024.2.7,24년1월,
#N/A,,PNA23522_0123_1071,,발주진행완료,3000,2024.1.23,입하완료,3000,2024.2.5,"675,000",2024.2.1,"742,500",,PNA23522-24년1월_재고생산,착한포장,225,2024.2.7,24년1월,
#N/A,,PNA23522_0123_0321,,발주진행완료,2000,2024.9.3,입하완료,2120,2024.2.1,"252,000",2024.2.19,"277,200",,PNA23522-24년1월_재고생산,(주)청산인쇄,126,2024.2.7,24년1월,
#N/A,,PNA23522_0123_0841,,발주진행완료,1000,2024.9.3,입하완료,1130,2024.2.7,"759,000",2024.2.19,"834,900",,PNA23522-24년1월_재고생산,(주)청산인쇄,759,2024.2.7,24년1월,
#N/A,,PNA23522_0123_4061,,발주진행완료,500,2024.9.3,입하완료,600,2024.2.5,"654,000",2024.2.19,"719,400",,PNA23522-24년1월_재고생산,(주)청산인쇄,"1,308",2024.2.7,24년1월,
#N/A,,PNA23522_0123_2041,,발주진행완료,1000,2024.9.3,입하완료,1120,2024.2.2,"524,000",2024.2.19,"576,400",,PNA23522-24년1월_재고생산,(주)청산인쇄,524,2024.2.7,24년1월,
#N/A,,PNA23522_0123_0611,,발주진행완료,1000,2024.1.23,입하완료,1020,2024.2.7,"710,000",2024.2.8,"781,000",,PNA23522-24년1월_재고생산,주식회사 팩토리비인쇄그룹,710,2024.2.7,24년1월,
PT2969,,PNA23522_0126_4321,STCK_PT2969-메시지캐리어파우치_실버,발주진행완료,200,2024.1.26,입하완료,,2024.3.4,"1,000,000",2024.2.8,"1,100,000","500개/500개 발주하였으나, 바로 받을 수 있는 수량 200개가 있어, 태스크 수량을 변경함.",PNA23522-24년1월_재고생산,(주)이삭반도체,"5,000",2024.2.9,24년1월,
#N/A,,PNA23522_0123_2011,,발주진행완료,1000,2024.1.23,입하완료,1000,2024.2.6,"900,000",2024.4.11,"990,000",,PNA23522-24년1월_재고생산,주식회사 센트온,900,2024.2.13,24년1월,
#N/A,,PNA23522_0102_3571,,발주진행완료,1200,2024.1.2,입하완료,,2024.3.13,"660,000",2024.2.6,"726,000",,PNA23522-24년1월_재고생산,(주)이지앤,550,2024.2.14,24년1월,
#N/A,,PNA23522_0102_3562,,발주진행완료,1050,2024.1.2,입하완료,1050,2024.2.14,"3,832,500",2024.2.6,"4,215,750",,PNA23522-24년1월_재고생산,(주)이지앤,"3,650",2024.2.14,24년1월,
#N/A,,PNA23522_0123_1201,,발주진행완료,1000,2024.1.23,입하완료,1010,2024.2.14,"1,600,000",2024.2.22,"1,760,000",,PNA23522-24년1월_재고생산,(주)이케이비전,"1,600",2024.2.14,24년1월,
#N/A,,PNA23522_0125_0931,,발주진행완료,3000,2024.9.3,입하완료,3200,2024.2.2,"705,000",2024.3.15,"775,500",,PNA23522-24년1월_재고생산,(주)청산인쇄,235,2024.2.15,24년1월,
#N/A,,PNA23522_0123_0941,,발주진행완료,1000,2024.1.23,입하완료,1020,2024.2.7,"109,091",2024.1.29,"120,000",,PNA23522-24년1월_재고생산,더패키징,109,2024.2.16,24년1월,
PT2804,,PNA23522_0129_3131,STCK_PT2804-페이퍼링캘린더_삼각대_그레이,발주진행완료,1000,2024.9.3,입하완료,,2024.3.4,"670,000",2024.3.15,"737,000",,PNA23522-24년1월_재고생산,(주)청산인쇄,670,2024.2.16,24년1월,
PT0736,,PNA23522_0130_0581,STCK_PT0736-에코페이퍼봉투(스탠다드)_웜그레이_300-1,발주진행완료,1000,2024.9.3,입하완료,1000,2024.2.13,"1,187,000",2024.3.15,"1,305,700",,PNA23522-24년1월_재고생산,(주)청산인쇄,"1,187",2024.2.16,24년1월,
PT1560,,PNA23522_0130_1771,STCK_PT1560-지지대_그레이_100-1,발주진행완료,3000,2024.9.3,입하완료,3000,2024.2.7,"163,500",2024.3.15,"179,850",,PNA23522-24년1월_재고생산,(주)청산인쇄,55,2024.2.16,24년1월,
PT1147,,PNA23522_0130_1231,STCK_PT1147-단품박스(스탠다드)_웜그레이_000-4,발주진행완료,4000,2024.9.3,입하완료,4296,2024.2.8,"467,000",2024.3.15,"513,700",,PNA23522-24년1월_재고생산,(주)청산인쇄,117,2024.2.16,24년1월,
PT0712,,PNA23522_0129_0521,STCK_PT0712-내추럴노트_커버_그레이,발주진행완료,2000,2024.1.29,입하완료,,2024.3.4,"4,058,000",2024.3.7,"4,463,800",,PNA23522-24년1월_재고생산,주식회사 팩토리비인쇄그룹,"2,029",2024.2.19,24년1월,
#N/A,,PNA23522_0109_0411,,발주진행완료,2000,2024.1.10,입하완료,,2024.2.29,"940,000",2024.1.18,"1,034,000",,PNA23522-24년1월_재고생산,착한포장,470,2024.2.21,24년1월,
#N/A,,PNA23522_0123_2101,,발주진행완료,1000,2024.1.23,입하완료,,2024.3.14,"5,200,000",2024.3.7,"5,720,000",,PNA23522-24년1월_재고생산,엔엠텍코리아주식회사,"5,200",2024.2.23,24년1월,
PT2969,,PNA23522_0129_4321,STCK_PT2969-메시지캐리어파우치_실버,발주진행완료,800,2024.1.29,입하완료,,2024.3.11,"4,000,000",2024.2.8,"4,400,000","500개/500개 발주하였으나, 바로 받을 수 있는 수량 200개가 있어, 태스크 수량을 변경함.",PNA23522-24년1월_재고생산,(주)이삭반도체,"5,000",2024.2.23,24년1월,
PT2115,,PNA23522_0130_2421,STCK_PT2115-펠트스트링파우치(커스텀인쇄)_그레이_300-2,발주진행완료,1000,2024.1.30,입하완료,1010,2024.2.14,"350,000",2024.2.20,"385,000",,PNA23522-24년1월_재고생산,(주)영일패키지,350,2024.2.23,24년1월,
PT2182,,PNA23522_0129_2601,STCK_PT2182-리프레쉬고체치약(페퍼민트.50정),발주진행완료,1000,2024.1.30,입하완료,1000,2024.2.28,"3,320,000","2024.2.7, 2024.2.27","3,652,000",,PNA23522-24년1월_재고생산,(주)성원제약,"3,320",2024.2.29,24년1월,
#N/A,,PNA23522_0104_2681,,발주진행완료,1000,2024.1.9,입하완료,,2024.3.4,"10,000,000","2024.1.19, 2024.3.12","11,000,000",,PNA23522-24년1월_재고생산,홈앤비전,"10,000",2024.3.4,24년1월,
#N/A,,PNA23522_0123_2991,,발주진행완료,700,2024.1.26,"입하완료, 입하완료","714, 734","2024.3.8, 2024.3.8","11,772,350",2024.3.28,"12,949,585",,PNA23522-24년1월_재고생산,(주)에스씨인터내셔널,"16,818","2024.3.8, 2024.3.8",24년1월,
PT2187,,PNA23522_0130_2621,STCK_PT2187-린넨메쉬스트링파우치(스탠다드)(M),발주진행완료,3000,2024.2.13,"입하완료, 입하완료","380, 2660","2024.3.8, 2024.3.25","3,900,000",2024.4.11,"4,290,000",,PNA23522-24년1월_재고생산,성우무역,"1,300","2024.3.11, 2024.3.26",24년1월,
#N/A,,PNA23522_0104_3961,,발주진행완료,3000,2024.1.5,입하완료,3000,2024.5.8,"18,981,818","2024.1.16, 2024.5.7","20,880,000",,PNA23522-24년1월_재고생산,시티핸즈캄퍼니,"6,327",2024.5.16,24년1월,
PT3200,,PNA23523_0206_3731,STCK_PT3200-캐리미와인잔(컵부분),발주진행완료,500,2024.2.6,입하완료,,2024.3.4,"985,000",2024.2.15,"1,083,500",,PNA23523-24년2월_재고생산,보소코리아,"1,970",2024.2.8,24년2월,
PT3201,,PNA23523_0206_3741,STCK_PT3201-캐리미와인잔(받침대)_투명,발주진행완료,500,2024.2.6,입하완료,,2024.3.4,"985,000",2024.2.15,"1,083,500",,PNA23523-24년2월_재고생산,보소코리아,"1,970",2024.2.8,24년2월,
PT2370,,PNA23523_0208_2801,STCK_PT2370-버티컬무선충전패드(15W)_블랙,발주진행완료,197,2024.2.8,입하완료,,2024.3.7,"1,674,500",2024.2.22,"1,841,950",,PNA23523-24년2월_재고생산,(주)데코컴퍼니,"8,500",2024.2.8,24년2월,
PT0503,,PNA23523_0208_0161,STCK_PT0503-미르텀블러_블랙,발주진행완료,500,2024.2.8,입하완료,500,2024.2.14,"8,563,636",2024.2.22,"9,420,000",,PNA23523-24년2월_재고생산,주식회사 따벨라,"17,127",2024.2.15,24년2월,
PT1197,,PNA23523_0213_1281,STCK_PT1197-스펙트럼컬러펜(블랙잉크)_화이트,발주진행완료,1000,2024.2.13,입하완료,,2024.2.15,"909,091",2024.3.14,"1,000,000",,PNA23523-24년2월_재고생산,엘바 (ELVA),909,2024.2.15,24년2월,
PT3200,,PNA23523_0213_3731,STCK_PT3200-캐리미와인잔(컵부분),발주진행완료,500,2024.2.14,입하완료,,2024.3.14,"985,000",2024.2.22,"1,083,500",,PNA23523-24년2월_재고생산,보소코리아,"1,970",2024.2.16,24년2월,
PT3201,,PNA23523_0213_3741,STCK_PT3201-캐리미와인잔(받침대)_투명,발주진행완료,500,2024.2.14,입하완료,,2024.3.14,"985,000",2024.2.22,"1,083,500",,PNA23523-24년2월_재고생산,보소코리아,"1,970",2024.2.16,24년2월,
PT2371,,PNA23523_0215_3101,STCK_PT2371-버티컬무선충전패드(15W)_화이트,발주진행완료,500,2024.2.16,입하완료,,2024.3.4,"4,250,000",2024.2.29,"4,675,000",,PNA23523-24년2월_재고생산,(주)데코컴퍼니,"8,500",2024.2.19,24년2월,
PT1433,,PNA23523_0215_1561,STCK_PT1433-오토매틱와인오프너(스탠다드)_다크그레이,발주진행완료,500,2024.2.16,입하완료,500,2024.2.19,"4,500,000",2024.2.29,"4,950,000",,PNA23523-24년2월_재고생산,(주)파워,"9,000",2024.2.20,24년2월,
PT2395,,PNA23523_0216_3511,STCK_PT2395-AA건전지(파워랜드),발주진행완료,2000,2024.2.16,입하완료,2000,2024.2.20,"400,000",2024.2.29,"440,000",,PNA23523-24년2월_재고생산,(주)파워,200,2024.2.20,24년2월,
PT3330,,PNA23523_0206_4101,STCK_PT3330-칫솔케이스(커스텀인쇄)_투명,발주진행완료,450,2024.2.13,입하완료,450,2024.2.21,"137,045",2024.4.23,"150,750",,PNA23523-24년2월_재고생산,도매박스&뉴제이스포츠,305,2024.2.21,24년2월,
PT3330,,PNA23523_0215_4101,STCK_PT3330-칫솔케이스(커스텀인쇄)_투명,발주진행완료,450,2024.2.15,입하완료,,2024.3.14,"137,045",2024.4.23,"150,750",,PNA23523-24년2월_재고생산,도매박스&뉴제이스포츠,305,2024.2.21,24년2월,
PT2830,,PNA23523_0206_3671,STCK_PT2830-지지대_화이트,발주진행완료,500,2024.2.6,입하완료,529,2024.2.14,"250,000",2024.3.7,"275,000",,PNA23523-24년2월_재고생산,주식회사 팩토리비인쇄그룹,500,2024.2.23,24년2월,
PT2829,,PNA23523_0206_3661,STCK_PT2829-트레이박스_화이트,발주진행완료,500,2024.2.6,입하완료,530,2024.2.14,"500,000",2024.3.7,"550,000",,PNA23523-24년2월_재고생산,주식회사 팩토리비인쇄그룹,"1,000",2024.2.23,24년2월,
PT1780,,PNA23523_0215_2131,STCK_PT1780-쇼핑백_화이트_200-3,발주진행완료,300,2024.2.15,입하완료,310,2024.2.19,"240,000",2024.2.22,"264,000",,PNA23523-24년2월_재고생산,민영종합상사,800,2024.2.23,24년2월,
PT3203,,PNA23523_0222_3761,STCK_PT3203-캐리미와인잔(2개입케이스),발주진행완료,500,2024.2.22,입하완료,,2024.3.4,"380,000",2024.3.7,"418,000",,PNA23523-24년2월_재고생산,보소코리아,760,2024.2.26,24년2월,
PT0501,,PNA23523_0222_0151,STCK_PT0501-미르텀블러_화이트,발주진행완료,300,2024.2.22,입하완료,,2024.2.23,"5,138,182",2024.2.29,"5,652,000",,PNA23523-24년2월_재고생산,주식회사 따벨라,"17,127",2024.2.26,24년2월,
PT3766,,PNA23523_0229_4511,STCK_PT3766-킵세이프마그넷배터리,발주진행완료,203,2024.11.4,입하완료,,2024.2.26,"1,827,000",2024.3.7,"2,009,700",,PNA23523-24년2월_재고생산,감성코퍼레이션 주식회사,"9,000",2024.2.26,24년2월,
PT0588,,PNA23523_0214_0421,STCK_PT0588-단품박스(스탠다드)_웜그레이_000-5,발주진행완료,5000,2024.9.3,입하완료,,2024.2.27,"978,000",2024.3.15,"1,075,800",,PNA23523-24년2월_재고생산,(주)청산인쇄,196,2024.2.27,24년2월,
PT3345,,PNA23523_0216_4561,STCK_PT3345-띠지밴드_그레이,발주진행완료,2000,2024.2.19,입하완료,2000,2024.2.29,"200,000",2024.3.7,"220,000",md파트 제품 개발 단계의 샘플제작비용,PNA23523-24년2월_재고생산,유성(구.유성테프),100,2024.2.27,24년2월,
PT3341,,PNA23523_0220_4541,STCK_PT3341-원형스티커(전용)_화이트+디지털풀컬러,발주진행완료,1000,2024.2.21,입하완료,1050,2024.2.22,"80,000",2024.3.14,"88,000",,PNA23523-24년2월_재고생산,서울디지털인쇄협동조합,80,2024.2.27,24년2월,
PT0580,,PNA23523_0213_0411,STCK_PT0580-슬라이드지퍼백(커스텀인쇄)(Medium)_반투명_100-3,발주진행완료,3000,2024.2.14,입하완료,3000,2024.2.21,"1,380,000",2024.2.22,"1,518,000",,PNA23523-24년2월_재고생산,착한포장,460,2024.2.28,24년2월,
PT0709,,PNA23523_0215_0491,STCK_PT0709-O링_블랙,발주진행완료,5000,2024.2.15,입하완료,,2024.3.7,"150,000",2024.2.27,"165,000",,PNA23523-24년2월_재고생산,나래메탈,30,2024.2.28,24년2월,
PT0711,,PNA23523_0215_0511,STCK_PT0711-군번줄_블랙,발주진행완료,1000,2024.2.15,입하완료,,2024.3.7,"300,000",2024.2.27,"330,000",,PNA23523-24년2월_재고생산,나래메탈,300,2024.2.28,24년2월,
PT0710,,PNA23523_0215_0501,STCK_PT0710-D링_블랙,발주진행완료,1000,2024.2.15,입하완료,,2024.3.7,"595,000",2024.2.27,"654,500",,PNA23523-24년2월_재고생산,나래메탈,595,2024.2.28,24년2월,
PT0878,,PNA23523_0215_0721,STCK_PT0878-매트블랙텀블러_블랙,발주진행완료,2000,2024.2.15,입하완료,,2024.3.6,"14,220,000",2024.3.7,"15,642,000",,PNA23523-24년2월_재고생산,주식회사 꾸띠잔홀딩스,"7,110",2024.2.29,24년2월,
PT1802,,PNA23523_0219_2241,STCK_PT1802-헤링본끈_화이트,발주진행완료,2000,2024.2.19,입하완료,2000,2024.2.28,"258,000",2024.3.12,"283,800",,PNA23523-24년2월_재고생산,백제레스,129,2024.2.29,24년2월,
PT3332,,PNA23523_0222_4331,STCK_PT3332-원형스티커(전용)(8핀)_화이트+디지털풀컬러,발주진행완료,1000,2024.2.22,입하완료,,2024.3.13,"31,500",2024.3.8,"34,650",,PNA23523-24년2월_재고생산,주식회사 베러웨이시스템즈,32,2024.2.29,24년2월,
PT1030,,PNA23523_0215_0961,STCK_PT1030-브랜드잇_내지(무지),발주진행완료,2000,2024.2.15,입하완료,,2024.2.23,"900,000",2024.2.29,"990,000",,PNA23523-24년2월_재고생산,주식회사 에이엠씨,450,2024.3.4,24년2월,
