period_unit,period_key,group_type,parent_group,group_name,inv_amount,inv_ratio,sku_count,sales_1m,sales_3m,sales_ytd,turnover_1m,turnover_3m,turnover_ytd,weighted_avg_unit_price
weekly,2026-01-02,subcategory,Drinkware,텀블러,13934979,0.03326327284,4,1961,7971,1961,0.9584657339,3.895935933,0.9584657339,6810.912736
weekly,2026-01-02,subcategory,Lifestyle,구강관리,1208000,0.002883537434,1,1125,6136,1125,1.490066225,8.127152318,1.490066225,1600
weekly,2026-01-02,subcategory,Tech,PC/ 노트북 악세사리,13988184,0.033390275,5,3201,7722,3201,1.814044586,4.376148795,1.814044586,7927.269432
weekly,2026-01-02,subcategory,Kit Package,지퍼백,730050,0.001742654391,3,300,2000,300,0.2053699709,1.369133139,0.2053699709,499.7678241
weekly,2026-01-02,subcategory,Tech,배터리,4679170,0.01116933929,4,1090,5893,1090,1.520136503,8.218499462,1.520136503,6525.667084
weekly,2026-01-02,subcategory,Lifestyle,여권케이스,1890000,0.004511494827,1,500,1080,500,1.111111111,2.4,1.111111111,4200
weekly,2026-01-02,subcategory,Drinkware,리유저블컵,5921200,0.0141341075,4,400,2684,400,0.1128918197,0.7575041103,0.1128918197,1671.137607
weekly,2026-01-02,subcategory,Fragrance,디퓨저,11400,0.00002721219102,1,402,2187,402,10.57894737,57.55263158,10.57894737,300
weekly,2026-01-02,subcategory,Lifestyle,우산,37562520,0.08966302363,2,1920,6644,1920,0.3790600438,1.311705693,0.3790600438,7415.859623
weekly,2026-01-02,subcategory,Lifestyle,캠핑,47319622,0.1129535608,4,0,300,0,0,0.08615760491,0,13589.81766
weekly,2026-01-02,subcategory,Lifestyle,구강가전,8481096,0.02024466705,1,200,2145,200,0.1972386588,2.115384615,0.1972386588,8364
weekly,2026-01-02,subcategory,Lifestyle,명함지갑,466182,0.001112792424,1,450,1620,450,5.056179775,18.20224719,5.056179775,5238
weekly,2026-01-02,subcategory,Tech,건강가전,25123140,0.0599697969,2,170,590,170,0.1487314086,0.5161854768,0.1487314086,21980
weekly,2026-01-02,subcategory,Lifestyle,모바일 악세사리,3873672,0.009246587931,2,800,2000,800,0.3316749585,0.8291873964,0.3316749585,1606
weekly,2026-01-02,subcategory,Drinkware,머그컵,1637500,0.003908768666,1,200,1000,200,0.3053435115,1.526717557,0.3053435115,2500
weekly,2026-01-02,subcategory,Kit Package,슬리브박스,19555967,0.046680764,3,1500,4800,1500,0.2708384258,0.8666829624,0.2708384258,3531.004878
weekly,2026-01-02,subcategory,Stationery,노트,8451948,0.02017508978,8,200,6704,200,0.05047708608,1.691991925,0.05047708608,2133.148534
weekly,2026-01-02,subcategory,Lifestyle,가드닝,20320,0.00004850453698,1,100,1572,100,0.09842519685,1.547244094,0.09842519685,20
weekly,2026-01-02,subcategory,Bag&pouch,하드케이스 파우치,21832212,0.05211423889,4,200,5065,200,0.03754624217,0.9508585829,0.03754624217,4098.587594
weekly,2026-01-02,subcategory,Lifestyle,네임택,443500,0.001058649712,1,100,400,100,0.02254791432,0.09019165727,0.02254791432,100
weekly,2026-01-02,subcategory,Tech,충전패드,5256000,0.01254625228,2,300,2000,300,1.369863014,9.132420091,1.369863014,24000
weekly,2026-01-02,subcategory,Awards & Recognition,트로피,13961500,0.03332657938,2,234,2270,234,0.05866131863,0.5690649286,0.05866131863,3500
weekly,2026-01-02,subcategory,Tech,시계,436100,0.001040985658,1,180,1526,180,2.02247191,17.14606742,2.02247191,4900
weekly,2026-01-02,subcategory,Tech,계절가전,5982724,0.0142809674,2,0,80,0,0,0.06749081862,0,5047.236754
weekly,2026-01-02,subcategory,Lifestyle,미분류,18406905,0.04393791359,1,0,0,0,0,0,0,15455
weekly,2026-01-02,subcategory,Lifestyle,도시락,1507255,0.003597869384,2,0,0,0,0,0,0,1696.10403
weekly,2026-01-02,subcategory,Lifestyle,세제,1142408,0.002726967081,2,0,100,0,0,0.09240827314,0,1055.679505
weekly,2026-01-02,subcategory,Lifestyle,골프,225630,0.0005385865491,1,0,510,0,0,11.33333333,0,5014
weekly,2026-01-02,subcategory,Wine,와인잔,34580,0.00008254364609,1,0,0,0,0,0,0,380
weekly,2026-01-09,category,,Drinkware,38196806,0.09034746201,14,3412,13566,3412,0.4552724317,1.810148244,0.4552724317,5347.565067
weekly,2026-01-09,category,,Stationery,102823514,0.2432099565,51,29942,126094,29942,1.321271705,5.564238673,1.321271705,4243.739468
weekly,2026-01-09,category,,Fragrance,3878241,0.009173259969,5,3102,11273,3102,1.534255035,5.575647006,1.534255035,1083.239945
weekly,2026-01-09,category,,Kit Package,20837214,0.04928656601,10,1800,6800,1800,0.2846104003,1.075194846,0.2846104003,3326.884572
weekly,2026-01-09,category,,Tech,65772601,0.1555728919,19,6666,22959,6666,1.333628751,4.593276701,1.333628751,13850.88965
weekly,2026-01-09,category,,Lifestyle,125514933,0.2968823006,22,7811,33414,7811,0.6479985341,2.772016773,0.6479985341,10289.58137
weekly,2026-01-09,category,,Bag&pouch,40298352,0.0953182794,7,1910,6975,1910,0.4995880266,1.824411773,0.4995880266,10814.83756
weekly,2026-01-09,category,,Figure,11459005,0.02710415156,2,0,0,0,0,0,0,4394.706862
weekly,2026-01-09,category,,Awards & Recognition,13961500,0.03302333946,2,234,2270,234,0.05866131863,0.5690649286,0.05866131863,3500
weekly,2026-01-09,category,,Wine,34580,0.00008179257806,1,0,0,0,0,0,0,380
weekly,2026-01-09,sub_category,,Product Parts,422776746,1,133,54877,223351,54877,1.064588856,4.332907879,1.064588856,8164.363008
weekly,2026-01-09,sourcing,,국내소싱,96444273,0.1759085622,41,18140,67202,18140,1.542640955,5.714914965,1.542640955,8048.38549
weekly,2026-01-09,sourcing,,해당없음,290527032,0.5299038593,215,67884,294601,67884,0.7671763931,3.329369698,0.7671763931,3225.374685
weekly,2026-01-09,sourcing,,중개소싱,110888463,0.2022538973,18,7300,27828,7300,0.7302521494,2.783761207,0.7302521494,11498.19072
weekly,2026-01-09,sourcing,,직소싱,50403897,0.09193368122,17,12048,32215,12048,2.702021678,7.224902753,2.702021678,12222.10503
